Tempo Ângulo omega x y
s graus graus/s  
0.0370 -2.9266 -14.6277  
0.0990 -3.8707 1.1626  
0.1320 -4.6088 3.6592  
0.1650 -5.0414 30.1355  
0.1990 -5.1930 18.0090  
0.2320 -5.2233 -7.9139  
0.2650 -5.1381 22.0915  
0.2990 -4.9606 37.8635  
0.3320 -4.4873 68.2874  
0.3650 -3.7707 57.9693  
0.3990 -2.8194 52.6942  
0.4320 -1.6811 58.8749  
0.4700 -0.4797 19.7685  
0.4850 0.5137 -72.3764  
0.5320 1.5096 13.5478  
0.5650 2.6608 39.1523  
0.5990 3.7061 -9.6870  
0.6660 4.6757 7.9098  
0.6980 5.3905 -9.1826  
0.7320 5.7874 -37.2552  
0.7650 5.9412 -19.3742  
0.7980 5.9873 26.2269  
0.8320 5.8301 -37.6719  
0.8660 5.6198 -47.5640  
0.8990 5.1523 -58.6391  
0.9310 4.2987 -80.2923  
0.9660 3.3168 -46.0604  
0.9990 2.1632 -35.9555  
1.0320 1.0130 -7.9104  
1.0650 -0.0487 -11.5449  
1.0980 -1.0644 -5.4184  
1.1330 -2.2484 -23.3681  
1.1660 -3.4264 -37.0197  
1.1980 -4.7205 -86.8025  
1.2320 -5.4489 109.4705  
1.2650 -5.8650 16.8016  
1.2980 -6.0274 27.9955  
1.3320 -6.0939 -6.6812  
1.3650 -6.0519 24.9479  
1.3990 -5.8909 23.8092  
1.4320 -5.5966 35.0050  
1.4650 -4.9794 73.0244  
1.4980 -4.0491 57.8848  
1.5320 -2.6354 60.4433  
1.5650 -1.4391 46.9476  
1.5990 -0.2360 18.2995  
1.6320 0.7666 -32.7756  
1.6650 1.8532 18.5658  
1.6990 2.9666 32.1209  
1.7320 3.8874 -33.8295  
1.7650 5.0361 104.0343  
1.7980 5.7175 -68.5788  
1.8320 6.1138 -27.6294  
1.8650 6.2433 -18.6302  
1.8980 6.1538 -19.3687  
1.9320 6.0895 25.6965  
1.9660 5.9886 -42.6078  
1.9990 5.6416 -55.9662  
2.0320 4.9951 -57.6847  
2.0660 4.2108 -73.3491  
2.0980 2.9336 -46.7628  
2.1320 1.8079 -21.9829  
2.1660 0.7611 -4.4551  
2.1980 -0.2459 -6.7492  
2.2320 -1.2841 -27.9785  
2.2660 -2.4443 -10.2001  
2.2990 -3.7758 -95.7781  
2.3320 -4.9635 -12.4320  
2.3660 -5.6127 102.4241  
2.3990 -5.9842 8.5763  
2.4320 -6.0866 36.1841  
2.4650 -5.9968 35.6238  
2.4990 -5.9747 -24.3908  
2.5320 -5.8329 29.7116  
2.5660 -5.5005 28.1062  
2.5990 -4.8602 82.7954  
2.6320 -3.6988 62.1287  
2.6710 -2.3201 45.1852  
2.6860 -1.1681 81.0431  
2.7370 -0.1167 -14.1626  
2.7510 0.8790 45.4624  
2.7990 1.8117 11.3764  
2.8320 2.9082 24.4775  
2.8520 4.1163 104.8309  
2.8990 5.2008 -5.9390  
2.9320 5.7770 -71.2730  
2.9660 6.1026 -13.3915  
2.9990 6.1904 -18.6564  
3.0320 6.1949 11.5744  
3.0660 6.2392 -9.5049  
3.0990 6.0411 -54.1894  
3.1310 5.6244 -51.2399  
3.1650 4.9359 -56.1955  
3.1990 3.7769 -76.6962  
3.2320 2.5412 -31.7102  
3.2650 1.4664 -22.5412  
3.2980 0.4944 17.3852  
3.3320 -0.5033 -25.6699  
3.3650 -1.6356 -29.2360  
3.3990 -2.7553 -5.7652  
3.4310 -4.2706 -179.5258  
3.4660 -5.2647 102.0725  
3.4990 -5.8412 68.6157  
3.5310 -6.0661 28.4156  
3.5650 -6.1252 18.0001  
3.5980 -6.1024 2.2379  
3.6310 -6.1161 6.3471  
3.6650 -5.9123 38.3061  
3.6980 -5.4525 48.3427  
3.7330 -4.7488 64.0525  
3.7650 -3.2995 53.5083  
3.7990 -2.0150 56.6063  
3.8320 -0.8910 19.9539  
3.8660 0.1980 16.4779  
3.8980 1.1847 -12.8603  
3.9310 2.2682 31.5534  
3.9650 3.3289 -0.4986  
3.9990 4.4144 45.5559  
4.0320 5.3067 -10.1838  
4.0650 5.8494 -38.0007  
4.0980 6.1340 -26.3342  
4.1320 6.1622 -18.8044  
4.1650 6.0698 -16.5918  
4.1980 5.9580 11.1042  
4.2370 5.7083 -45.9265  
4.2510 5.1895 -117.7686  
4.2990 4.4808 -39.9237  
4.3320 3.3852 -70.3201  
4.3650 2.2027 -36.4900  
4.3980 1.0943 -15.5864  
4.4320 -0.0158 -26.0239  
4.4650 -1.0043 17.4686  
4.4990 -2.0267 -26.1022  
4.5320 -3.1047 -5.7260  
4.5990 -4.1492 -21.7181  
4.6320 -4.8185 63.6910  
4.6650 -5.2351 18.5094  
4.6980 -5.3564 19.1932  
4.7320 -5.3483 2.6219  
4.7650 -5.2585 9.1760  
4.7990 -4.9761 30.6064  
4.8320 -4.5119 72.5825  
4.8690 -3.7820 47.8173  
4.8830 -2.8488 131.7471  
4.9320 -1.5592 43.0254  
4.9650 -0.4297 15.2009  
4.9990 0.5498 -26.1696  
5.0320 1.5185 15.9075  
5.0650 2.5459 20.5178  
5.0980 3.5152 -8.4496  
5.1660 4.4793 14.5337  
5.1990 5.1578 -13.9336  
5.2320 5.5508 -32.9201  
5.2650 5.8466 26.4479  
5.2980 5.8332 -29.8336  
5.3320 5.6521 -34.5370  
5.3690 5.4092 -40.7647  
5.3830 4.9264 -133.8625  
5.4320 4.1342 -49.3257  
5.4650 3.2333 -41.4107  
5.4990 2.1121 -35.6928  
5.5310 1.0085 -8.8940  
5.5650 0.0320 5.4500  
5.5990 -1.0985 -19.6232  
5.6320 -2.2199 -27.0807  
5.6650 -3.2244 -0.1644  
5.6990 -4.3970 -93.8035  
5.7230 -5.0608 133.9021  
5.7490 -5.4113 27.5383  
5.7990 -5.5731 10.4180  
5.8320 -5.6271 -4.1034  
5.8650 -5.5936 17.8976  
5.8990 -5.5012 22.7428  
5.9320 -5.2256 35.3279  
5.9650 -4.6189 73.2207  
5.9990 -3.8350 51.9935  
6.0320 -2.5113 66.9144  
6.0650 -1.4289 24.2541  
6.0990 -0.3038 33.6215  
6.1320 0.6849 -25.5437  
6.1650 1.7396 15.8891  
6.1990 2.8112 22.3543  
6.2320 3.6977 -32.6817  
6.2650 4.7430 83.4682  
6.2810 5.3644 -113.9410  
6.3320 5.7501 -11.5504  
6.3700 5.8601 -14.4267  
6.3840 5.8354 -39.1246  
6.4320 5.7430 9.7248  
6.4650 5.6340 -30.5689  
6.4990 5.2802 -56.5961  
