Time Angle omega x y
s degrees degrees/s  
0.0150 15.1910 -52.7137  
0.0730 14.9658 -38.1130  
0.0900 14.3191 -148.4311  
0.1100 13.2523 -133.8653  
0.1480 12.0565 -74.6135  
0.1820 10.8417 -93.0255  
0.2150 9.4499 -81.2290  
0.2480 7.4533 -90.2463  
0.2820 5.0325 -78.3202  
0.3140 2.4429 -77.4215  
0.3480 -0.1999 -65.2879  
0.3820 -2.8213 -58.7242  
0.4140 -5.3415 -47.2085  
0.4490 -7.7332 -39.8104  
0.4810 -9.3446 155.2872  
0.5150 -10.9889 -102.7242  
0.5490 -12.7217 -104.8934  
0.5820 -13.4612 210.7783  
0.6150 -14.2545 -96.9946  
0.6480 -14.8592 -17.9240  
0.6810 -15.0908 45.7914  
0.7150 -14.9230 58.7482  
0.7490 -14.3718 68.3374  
0.7810 -13.4457 73.5920  
0.8140 -12.7969 66.5744  
0.8480 -11.4681 97.2729  
0.8810 -9.4983 86.1637  
0.9160 -7.9083 90.2220  
0.9490 -5.6811 96.0946  
0.9810 -3.1422 78.9174  
1.0150 -0.5175 69.6875  
1.0480 2.1452 72.0184  
1.0820 4.7608 54.5211  
1.1150 7.2985 47.7405  
1.1480 9.5029 -34.4277  
1.1820 11.0141 -106.6110  
1.2150 12.4582 65.8279  
1.2480 13.3723 -64.8949  
1.2820 13.8498 -35.1711  
1.3150 14.5646 148.4595  
1.3480 14.9830 -18.0332  
1.3820 14.9951 -49.6129  
1.4140 14.5813 -75.1432  
1.4490 13.7611 -71.0990  
1.4810 12.8027 -78.6919  
1.5150 11.9233 -83.3916  
1.5480 10.5264 -90.9812  
1.5820 9.0600 -83.4298  
1.6150 7.4294 -85.9939  
1.6480 5.0419 -80.9125  
1.6810 2.4626 -76.1236  
1.7150 -0.1643 -63.6354  
1.7480 -2.7504 -60.4921  
1.7810 -5.2591 -51.9872  
1.8150 -7.6459 -38.1808  
1.8490 -9.1600 173.2809  
1.8810 -10.7495 -117.3644  
1.9150 -12.4771 -124.0773  
1.9480 -13.1384 237.1219  
1.9820 -13.9508 -122.9603  
2.0140 -14.5612 -15.3601  
2.0480 -14.8247 38.3795  
2.0810 -14.6888 60.5416  
2.1150 -14.1489 68.3492  
2.1480 -13.2459 70.7109  
2.1810 -12.6943 72.0441  
2.2150 -11.4364 97.2729  
2.2480 -9.4826 83.0276  
2.2810 -7.9842 99.1448  
2.3150 -5.7834 83.6085  
2.3480 -3.2625 82.1172  
2.3810 -0.6345 71.9843  
2.4150 2.0279 68.8964  
2.4490 4.6641 60.6342  
2.4820 7.1985 39.8581  
2.5150 9.4517 -13.1650  
2.5480 10.9527 -127.6974  
2.6150 12.2016 3.2580  
2.6480 13.0052 -35.8179  
2.6820 14.0248 147.1601  
2.7140 14.7096 -19.9329  
2.7490 14.9720 -52.8117  
2.7820 14.7792 -66.9865  
2.8150 14.1305 -75.6447  
2.8490 13.0799 -79.5400  
2.8810 11.8208 -78.7112  
2.9150 10.6671 -92.9724  
2.9480 9.1866 -92.3988  
2.9820 7.5630 -76.8518  
3.0150 5.1550 -86.0690  
3.0480 2.5782 -70.4923  
3.0820 -0.0453 -68.1022  
3.1140 -2.6348 -58.4624  
3.1480 -5.1462 -50.4346  
3.1820 -7.4718 -24.8827  
3.2150 -9.0077 162.9453  
3.2480 -10.2795 -15.7333  
3.2850 -11.9704 -195.6889  
3.3200 -12.6488 214.6410  
3.3440 -13.4423 -166.3167  
3.3810 -14.0731 -18.9099  
3.4150 -14.3400 38.9410  
3.4480 -14.2200 60.5416  
3.4820 -13.6962 68.3492  
3.5140 -12.8522 73.6103  
3.5480 -12.3104 69.2760  
3.5810 -11.3859 100.2206  
3.6150 -9.4530 83.6295  
3.6480 -7.9705 91.2024  
3.6820 -5.7727 92.9480  
3.7150 -3.2659 72.4548  
3.7480 -0.6379 76.8306  
3.7820 2.0245 68.8964  
3.8150 4.6282 52.6318  
3.8480 7.1655 51.2397  
3.8820 9.4170 -14.7655  
3.9150 10.9216 -126.1359  
3.9820 12.2323 13.5096  
4.0150 13.1537 -26.7632  
4.0480 14.1565 120.4245  
4.0820 14.8620 -17.1178  
4.1150 15.1406 -52.5495  
4.1480 14.9477 -71.8706  
4.1810 14.3288 -76.4645  
4.2150 13.3049 -69.4138  
4.2480 12.0475 -85.9393  
4.2810 10.9060 -91.0054  
4.3150 9.3903 -83.4543  
4.3490 7.6251 -99.3530  
4.3810 5.2359 -70.8378  
4.4150 2.6544 -73.6550  
4.4490 0.0272 -64.4236  
4.4810 -2.5623 -62.3710  
4.5150 -5.0665 -49.1138  
4.5480 -7.4070 -21.9107  
4.5810 -9.3485 34.9670  
4.6150 -11.0273 -11.0717  
4.6520 -12.9504 -142.6959  
4.6810 -13.5840 328.1242  
4.7150 -14.3852 -115.9344  
4.7480 -15.0348 -29.9428  
4.7820 -15.3142 44.4518  
4.8150 -15.1942 60.5416  
4.8480 -14.6908 65.5993  
4.8820 -13.8636 73.9596  
4.9150 -12.9320 66.5827  
4.9490 -11.6163 101.9245  
4.9820 -9.4883 86.1637  
5.0150 -8.0267 86.3968  
5.0480 -5.8371 101.1439  
5.0820 -3.3116 69.7669  
5.1150 -0.6869 75.8293  
5.1490 1.9755 69.8683  
5.1820 4.5906 51.2550  
5.2150 7.1116 47.6870  
5.2490 9.3669 -13.5250  
5.2810 10.8824 -122.8713  
5.3490 12.4048 42.8135  
5.3820 13.2300 -124.8487  
5.4150 14.2630 164.1050  
5.4480 14.9800 -23.8827  
5.4820 15.2458 -59.1209  
5.5150 15.0654 -63.1909  
5.5490 14.4643 -74.0250  
5.5810 13.4407 -82.8266  
5.6150 12.2099 -74.4630  
5.6480 11.0413 -100.3081  
5.6820 9.2982 -83.3388  
5.7150 7.6846 -85.6092  
5.7480 5.2633 -80.6744  
5.7810 2.6730 -75.0674  
5.8160 0.0620 -63.3556  
5.8510 -2.5401 -57.0249  
5.8810 -5.0574 -55.6623  
5.9150 -7.4135 -30.5061  
5.9490 -9.3990 34.4936  
5.9810 -11.0001 16.7106  
6.0150 -13.0012 -200.9719  
6.0490 -13.6744 307.4414  
6.0820 -14.4780 -120.1706  
6.1150 -15.1303 -29.2198  
6.1490 -15.4097 44.4518  
6.1810 -15.2897 62.4336  
6.2150 -14.8022 58.9883  
6.2480 -13.9594 76.2216  
6.2810 -13.0142 66.5915  
6.3150 -11.7916 97.2849  
6.3480 -9.6015 86.1450  
6.3810 -8.1409 95.6976  
6.4150 -5.9667 93.2212  
6.4480 -3.4572 72.4268  
6.4820 -0.8325 78.3007  
6.5140 1.8138 69.1940  
6.5480 4.4448 54.4920  
6.5820 6.9817 46.2845  
6.6150 9.2554 -13.1459  
6.6480 10.8209 -114.3596  
6.6820 12.3612 76.1882  
6.7150 13.5413 -13.4737  
6.7480 14.0505 -107.2275  
6.7820 14.8259 148.5541  
6.8180 15.2926 -11.7639  
6.8480 15.3489 -63.0160  
6.8810 14.9994 -66.8160  
6.9150 14.2436 -73.2160  
6.9480 13.2634 -81.1502  
6.9810 12.4246 -71.5352  
7.0150 10.9947 -97.6432  
7.0480 9.3255 -85.9832  
7.0820 7.7276 -83.0925  
7.1150 5.3566 -81.2530  
7.1490 2.7794 -73.0687  
7.1820 0.1723 -66.3550  
7.2140 -2.4138 -62.3601  
7.2490 -4.9224 -48.9711  
7.2810 -7.2819 -37.1090  
7.3150 -8.9447 135.4971  
7.3490 -10.6373 -106.3934  
7.3810 -12.6135 -177.3057  
7.4150 -13.3076 293.9883  
7.4480 -14.1028 -111.8811  
7.4820 -14.7682 -34.8987  
7.5150 -15.0634 45.7988  
7.5480 -14.9753 55.7079  
7.5820 -14.4993 63.6798  
7.6150 -13.6712 70.7210  
7.6490 -13.0659 69.9717  
7.6820 -11.7838 95.4450  
7.7140 -9.6343 93.7746  
7.7490 -8.1993 81.4449  
7.7850 -6.0633 92.1691  
7.8150 -3.5697 79.6393  
7.8490 -0.9578 79.2454  
7.8810 1.6884 68.1462  
7.9150 4.3077 55.8001  
7.9480 6.8627 51.2241  
7.9810 9.2180 11.5879  
8.0150 10.6901 -167.1343  
8.0480 12.1355 82.8189  
8.0820 13.4262 38.3798  
8.1150 14.0472 -102.4226  
8.1490 14.8698 129.5742  
8.1820 15.3493 -22.3160  
8.2140 15.4259 -57.7791  
8.2490 15.0881 -64.1850  
8.2820 14.3323 -75.4346  
8.3150 13.2705 -81.1502  
8.3490 12.5408 -69.4312  
8.3810 11.2217 -98.8117  
8.4150 9.4883 -83.4675  
8.4510 7.8092 -78.7947  
8.4820 5.4069 -91.2042  
8.5150 2.8588 -66.4765  
8.5480 0.2634 -70.3476  
8.5830 -2.3107 -58.1100  
8.6150 -4.8193 -57.3285  
8.6480 -7.1740 -34.5200  
8.6820 -8.7368 163.4811  
8.7150 -10.4343 -136.6402  
8.7490 -12.2659 -122.8758  
8.7820 -13.0434 233.4329  
8.8160 -13.7418 -59.8955  
8.8530 -14.4363 -58.2138  
8.8810 -14.7475 53.9771  
8.9150 -14.6714 54.0694  
8.9480 -14.1954 65.6095  
8.9830 -13.3562 71.2227  
9.0150 -12.8508 69.3762  
9.0490 -11.5796 92.6378  
9.0820 -9.5905 90.9330  
9.1150 -8.0708 91.1849  
9.1480 -6.0456 91.4644  
9.1820 -3.5520 74.4239  
9.2150 -0.9562 76.7795  
9.2490 1.6738 64.1237  
9.2810 4.2932 64.3216  
9.3150 6.8160 44.9372  
9.3480 9.1328 4.8458  
9.3820 10.5949 -158.7549  
9.4150 12.0426 86.5618  
9.4480 13.3919 61.3656  
9.4830 13.9411 -142.3340  
9.5150 14.7741 167.7229  
9.5480 15.2535 -30.3498  
9.5870 15.3420 -44.3276  
9.6150 15.0237 -71.7775  
9.6490 14.3001 -74.2701  
9.6820 13.3085 -76.3614  
9.7150 12.5889 -81.1517  
9.7480 11.2832 -91.0324  
9.7820 9.4912 -83.4813  
9.8150 7.9148 -85.6151  
9.8480 5.5179 -85.9996  
9.8820 2.9886 -68.4157  
9.9150 0.3974 -71.1259  
9.9490 -2.1962 -59.8191  
9.9820 -4.7047 -50.7441  
10.0150 -7.0719 -33.5127  
10.0490 -9.0632 31.7574  
10.0820 -10.7747 -6.2214  
10.1490 -11.8543 51.9434  
10.1820 -12.9590 -93.1924  
10.2150 -13.8886 -32.9732  
10.2480 -14.4345 45.7988  
