Tempo;Angle;omega;x;y
s;degrees;degrees/s;;
"0,0480";"10,4389";"-104,1707";;
"0,0710";"12,2036";"217,4679";;
"0,0880";"13,4574";"-124,9753";;
"0,1300";"14,3264";"-28,7954";;
"0,1630";"14,6648";"-54,5075";;
"0,1970";"14,6509";"-56,6106";;
"0,2290";"14,2363";"-61,2036";;
"0,2640";"13,3019";"-101,0277";;
"0,2960";"11,9661";"-82,1329";;
"0,3300";"10,1104";"-93,2291";;
"0,3630";"8,4937";"-85,4086";;
"0,3960";"6,0434";"-101,0322";;
"0,4300";"3,5610";"-71,9526";;
"0,4630";"0,9728";"-68,7133";;
"0,5010";"-1,6397";"-53,7068";;
"0,5290";"-4,1759";"-41,5204";;
"0,5630";"-6,1579";"105,4221";;
"0,5960";"-7,8378";"-15,6229";;
"0,6300";"-9,3421";"-25,6478";;
"0,6640";"-11,0728";"-159,8235";;
"0,6970";"-11,8795";"194,5902";;
"0,7300";"-12,2897";"19,1465";;
"0,7630";"-12,6869";"-70,2136";;
"0,7970";"-12,8377";"5,7680";;
"0,8300";"-12,5588";"68,3845";;
"0,8630";"-11,9056";"78,1699";;
"0,8970";"-11,3841";"66,7095";;
"0,9350";"-10,4769";"87,9408";;
"0,9630";"-9,1841";"106,5269";;
"0,9970";"-7,0671";"82,6063";;
"1,0300";"-5,3106";"85,3582";;
"1,0630";"-3,3019";"95,5582";;
"1,0970";"-0,8661";"57,4856";;
"1,1300";"1,7290";"54,1949";;
"1,1640";"4,2676";"49,7584";;
"1,1970";"6,6742";"38,1867";;
"1,2300";"8,9139";"18,1346";;
"1,2640";"10,5308";"-84,8733";;
"1,2970";"12,1262";"83,8737";;
"1,3300";"13,3747";"-20,0328";;
"1,3640";"14,2030";"-40,7313";;
"1,3970";"14,5189";"-59,7080";;
"1,4310";"14,4477";"-56,3767";;
"1,4640";"14,0058";"-58,1472";;
"1,4970";"13,0412";"-107,1099";;
"1,5310";"11,6701";"-82,4862";;
"1,5640";"9,9575";"-85,3745";;
"1,5970";"8,2339";"-90,7525";;
"1,6300";"5,9002";"-101,0405";;
"1,6640";"3,4055";"-66,7578";;
"1,6980";"0,8049";"-71,9181";;
"1,7310";"-1,7979";"-60,3261";;
"1,7640";"-4,2779";"-20,9294";;
"1,7980";"-6,5303";"10,5498";;
"1,8310";"-8,1926";"71,6903";;
"1,8640";"-9,7224";"-44,8446";;
"1,8970";"-11,3922";"-127,7964";;
"1,9310";"-12,1813";"170,9590";;
"1,9640";"-12,5622";"22,6555";;
"1,9960";"-12,8531";"-42,8197";;
"2,0340";"-12,9862";"-22,8028";;
"2,0630";"-12,6945";"77,8169";;
"2,0970";"-12,0758";"75,8708";;
"2,1310";"-11,2641";"67,3161";;
"2,1640";"-10,3393";"105,9601";;
"2,1980";"-8,9858";"82,5646";;
"2,2310";"-6,9121";"90,4349";;
"2,2640";"-5,1556";"80,0327";;
"2,2970";"-3,1407";"100,9277";;
"2,3300";"-0,8112";"53,8581";;
"2,3640";"1,7970";"56,4494";;
"2,3970";"4,3535";"52,7423";;
"2,4310";"6,7602";"31,7824";;
"2,4640";"8,8999";"-11,5176";;
"2,4970";"10,3306";"-108,9085";;
"2,5310";"12,0472";"166,6418";;
"2,5640";"13,2840";"-54,9449";;
"2,5980";"14,1122";"-42,4688";;
"2,6300";"14,4283";"-55,9968";;
"2,6640";"14,3709";"-57,5490";;
"2,6970";"13,8951";"-68,6551";;
"2,7320";"12,8949";"-100,0737";;
"2,7650";"11,5239";"-79,6494";;
"2,8000";"9,8915";"-85,5260";;
"2,8330";"8,3366";"-85,4176";;
"2,8630";"5,8793";"-111,9601";;
"2,8980";"3,3788";"-64,1514";;
"2,9310";"0,7603";"-79,4849";;
"2,9640";"-1,8831";"-61,8514";;
"2,9980";"-4,3914";"-17,8275";;
"3,0310";"-6,3348";"102,5338";;
"3,0650";"-7,9795";"-15,1634";;
"3,0980";"-9,0359";"98,6157";;
"3,1310";"-10,2670";"-143,6493";;
"3,1650";"-11,0445";"50,4990";;
"3,1980";"-11,4114";"22,6661";;
"3,2310";"-11,8326";"-84,5168";;
"3,2650";"-11,9349";"16,6771";;
"3,2980";"-11,5851";"75,1240";;
"3,3310";"-10,9520";"67,4771";;
"3,3640";"-10,4305";"68,7310";;
"3,3980";"-9,5057";"103,4503";;
"3,4310";"-8,6078";"90,4656";;
"3,4650";"-6,9552";"82,5348";;
"3,5040";"-5,2102";"67,7200";;
"3,5310";"-3,2070";"123,3561";;
