Tempo Angle omega x y
s degrees degrees/s  
0.0310 17.5061 146.6031  
0.0630 17.7527 -88.9525  
0.0970 17.5944 -167.5530  
0.1290 16.6832 24.3823  
0.1630 16.3149 -13.9382  
0.1960 15.5202 -120.0072  
0.2290 14.3409 -100.1988  
0.2630 12.8136 -102.3796  
0.3000 10.9841 -93.8672  
0.3290 8.8391 -132.0758  
0.3630 5.9015 -90.8052  
0.3960 2.9608 -87.2121  
0.4290 0.3804 -63.4639  
0.4620 -2.2691 2.7240  
0.4970 -4.8471 6.8745  
0.5290 -7.1754 -45.7213  
0.5630 -9.2721 -29.1351  
0.5970 -11.1009 -23.5815  
0.6290 -12.6140 -9.8783  
0.6630 -14.5823 -246.5530  
0.7000 -14.8469 377.0475  
0.7290 -14.7919 10.9239  
0.7630 -14.4624 19.1567  
0.7950 -14.0584 26.1104  
0.8290 -13.5899 26.0162  
0.8630 -12.8651 32.3763  
0.8960 -12.0547 -4.1067  
0.9300 -11.0203 42.2998  
0.9630 -9.7808 52.5983  
0.9960 -7.4580 74.2528  
1.0290 -6.2852 74.2480  
1.0660 -4.8961 67.0142  
1.0960 -3.3399 77.4331  
1.1300 -1.6328 68.9283  
1.1630 0.2211 71.3085  
1.1960 2.0345 21.0806  
1.2300 4.0182 46.1063  
1.2630 6.0013 43.4197  
1.2960 7.9760 50.0265  
1.3300 9.3317 -109.9800  
1.3630 10.4983 16.9468  
1.3950 11.4384 6.6919  
1.4330 12.1213 -6.5377  
1.4630 12.5920 7.3658  
1.4960 12.7964 -9.3868  
1.5290 12.8657 -19.8589  
1.5630 13.2363 134.7259  
1.5960 13.1272 -101.9277  
1.6300 12.7092 -42.3202  
1.6630 12.5315 -40.4869  
1.6960 12.1716 -38.2746  
1.7290 11.5579 -70.3951  
1.7630 10.7376 -68.0929  
1.7960 9.6484 -74.7698  
1.8320 8.3438 -68.4468  
1.8630 6.8046 -96.8173  
1.8960 4.6313 -53.3501  
1.9300 2.5754 -64.3991  
1.9630 0.5003 -49.4126  
1.9960 -1.3765 19.6129  
2.0290 -3.1523 -7.6782  
2.0630 -4.7748 -23.2344  
2.0960 -6.2401 -22.5405  
2.1290 -7.5053 -14.1149  
2.1630 -8.5314 -2.1627  
2.1960 -9.8630 -183.5030  
2.2290 -10.4000 187.4137  
2.2630 -10.6771 12.0667  
2.2820 -10.7260 34.2605  
2.3290 -10.7468 19.7394  
2.3630 -10.6445 28.7708  
2.3960 -10.3795 25.3768  
2.4290 -10.0471 -2.1434  
2.4620 -9.5182 45.4532  
2.4960 -8.7909 56.1650  
2.5300 -7.1727 83.9622  
2.5630 -5.9546 66.1450  
2.5960 -4.5304 74.8845  
2.6290 -2.9398 70.1526  
2.6630 -1.1653 81.3734  
2.6960 0.7038 58.3114  
2.7290 2.3474 -42.9516  
2.7630 4.0213 6.8296  
2.7960 6.1363 179.1163  
2.8290 7.9464 -34.5202  
2.8630 9.2395 -68.1238  
2.8960 10.3608 14.1298  
2.9300 11.3422 31.4967  
2.9630 12.3869 89.3627  
2.9960 12.7689 -117.0014  
3.0300 12.9022 -16.5477  
3.0630 13.2419 19.6009  
3.0960 13.8543 89.6752  
3.1290 13.2681 -184.0835  
3.1630 12.8795 24.5985  
3.1970 12.7488 7.7156  
3.2290 12.3004 -84.6924  
3.2620 11.5368 -63.0538  
3.2970 10.2319 -70.4072  
3.3300 9.0677 -74.3618  
3.3620 7.7134 -76.9992  
3.3950 6.0217 -82.6372  
3.4290 3.8689 -48.5839  
3.4630 2.1303 -56.8672  
3.4960 0.1550 -46.3608  
3.5320 -1.7290 32.6615  
3.5630 -3.4443 -33.0192  
3.5960 -5.0305 -23.9229  
3.6300 -6.4353 -19.1511  
3.6630 -7.6414 -14.1192  
3.6960 -8.2945 92.8850  
3.7300 -8.9795 -89.5733  
3.7630 -9.4733 7.8767  
3.7960 -9.7272 14.1063  
3.8290 -9.7538 22.5277  
3.8630 -9.8096 25.9873  
3.8960 -9.6515 33.7940  
3.9290 -9.4865 -21.8256  
3.9630 -9.1467 32.2692  
3.9960 -8.5538 62.5605  
