Tempo Angle omega x y
s degrees degrees/s  
0.0000 1.8979 -79.9866  
0.0200 -0.7479 -136.1110  
0.0480 -3.4704 -22.5589  
0.0820 -5.7212 52.1256  
0.1150 -7.7896 -33.9367  
0.1490 -9.6511 -33.0975  
0.1830 -11.2658 -20.9215  
0.2150 -12.6560 -15.0888  
0.2480 -14.0341 -99.8274  
0.2820 -15.4660 -96.6105  
0.3150 -15.9247 212.5393  
0.3490 -16.0632 14.0726  
0.3820 -16.0360 31.0944  
0.4150 -16.0746 33.7546  
0.4490 -15.8746 37.2626  
0.4870 -15.4940 17.8942  
0.5150 -14.9335 38.8283  
0.5490 -14.2906 10.0536  
0.5820 -13.0674 76.0049  
0.6150 -11.1775 102.5308  
0.6490 -9.6715 93.3254  
0.6820 -7.9408 82.6173  
0.7160 -5.9980 92.5667  
0.7490 -3.8713 89.4697  
0.7820 -1.5509 97.1087  
0.8150 0.9269 68.2929  
0.8490 3.2941 -0.5764  
0.8820 5.6437 5.0654  
0.9160 8.1427 117.6915  
0.9490 9.9555 -105.4267  
0.9820 11.5211 21.2743  
1.0160 12.8712 16.7931  
1.0490 14.7176 245.7436  
1.0820 16.0604 -63.1047  
1.1150 16.4164 -201.9274  
1.1490 16.4768 -20.6540  
1.1820 16.4600 -23.9914  
1.2150 16.3237 -31.1765  
1.2490 15.6607 -37.1754  
1.2820 15.5186 52.3942  
1.3150 15.2285 -23.5639  
1.3500 14.5702 -88.9007  
1.3820 12.8051 -92.4300  
1.4150 10.9541 -89.1401  
1.4490 9.4762 -86.2547  
1.4820 7.7514 -96.1104  
1.5150 5.7902 -95.6265  
1.5490 3.6588 -80.2942  
1.5820 1.3558 -90.3281  
1.6160 -1.2551 -39.6983  
1.6490 -3.8681 -24.1929  
1.6860 -6.0673 27.7451  
1.7150 -8.0980 -43.8953  
1.7480 -9.9212 -26.2647  
1.7830 -11.5309 -22.7916  
1.8150 -12.8714 -15.0043  
1.8490 -14.3110 -121.9390  
1.8820 -15.6232 -44.1247  
1.9150 -16.0451 179.4625  
1.9490 -16.2841 14.0991  
1.9820 -16.3406 31.0803  
2.0150 -16.3883 33.8103  
2.0480 -16.1818 38.4493  
2.0820 -15.7308 46.4006  
2.1150 -15.1288 21.5867  
2.1490 -14.5141 -10.3571  
2.1820 -13.2335 76.1171  
2.2200 -11.4689 89.0672  
2.2490 -9.9791 109.4614  
2.2820 -8.2648 82.5435  
2.3160 -6.3381 92.6451  
2.3540 -4.2281 77.6133  
2.3810 -1.9249 118.4966  
2.4160 0.2387 5.2279  
2.4490 2.2670 -19.4474  
2.4820 4.4808 45.5808  
2.5150 6.5537 33.3941  
2.5490 8.3989 32.5564  
2.5820 9.9810 16.5056  
2.6150 11.3635 22.0305  
2.6490 12.6581 66.8205  
2.6820 13.8786 66.8984  
2.7150 14.3060 -143.4003  
2.7490 14.6607 -15.9708  
2.7820 14.9845 -28.8195  
2.8150 15.0550 -31.1678  
2.8490 14.9047 -32.5567  
2.8810 14.8133 53.0299  
2.9160 14.5843 -23.7746  
2.9490 13.9714 -94.3028  
2.9820 12.8580 -82.7999  
3.0160 11.2083 -92.8194  
3.0490 9.7372 -89.2654  
3.0830 8.0033 -93.2753  
3.1150 6.0465 -99.3705  
3.1490 3.8994 -86.2516  
3.1820 1.6155 -74.9456  
3.2150 -1.1084 -81.9529  
3.2490 -3.9630 -62.8840  
3.2820 -6.1691 102.1816  
3.3160 -8.2292 -37.4151  
3.3490 -10.0857 -33.9067  
3.3820 -11.7180 -21.3643  
3.4150 -13.0812 -14.5496  
3.4490 -14.4662 -99.9160  
3.4820 -15.4152 43.2352  
3.5160 -15.8879 67.3707  
3.5490 -16.0422 14.5264  
3.5820 -15.8800 31.0803  
3.6150 -15.9436 33.8103  
3.6530 -15.7372 37.5524  
3.6820 -15.2770 48.9468  
3.7160 -14.7890 -12.5715  
3.7490 -14.1742 23.8682  
3.7820 -12.9685 76.1171  
3.8160 -11.5671 99.5457  
3.8490 -10.0773 96.1933  
3.8830 -8.3630 80.1158  
3.9160 -6.4363 95.4525  
3.9490 -4.3262 89.3729  
3.9820 -2.0389 96.9517  
4.0150 0.1247 5.5447  
4.0520 2.2670 -17.3450  
4.0820 4.6508 106.8042  
4.1160 6.7237 -17.5869  
4.1490 8.5615 31.3234  
4.1820 10.1437 18.7252  
4.2160 11.5009 13.9512  
4.2500 12.6770 39.3905  
4.2830 13.8238 80.4812  
4.3160 14.2511 -121.0653  
4.3490 14.5900 -21.2665  
4.3820 14.9138 -24.0078  
4.4150 14.8143 -31.1678  
4.4490 14.6640 -32.5567  
4.4830 14.6194 61.5100  
4.5150 14.3718 -44.1281  
4.5490 13.7803 -87.1898  
4.5820 12.7628 -88.5235  
4.6160 11.1868 -86.1446  
4.6490 9.7157 -89.2654  
4.6820 7.9988 -95.7616  
4.7160 6.0445 -93.1427  
4.7490 3.9201 -82.6847  
4.7820 1.6363 -81.8604  
4.8160 -1.1081 -73.9615  
4.8490 -3.6252 26.1133  
4.8820 -5.8275 5.5286  
4.9160 -7.8649 -37.4151  
4.9490 -9.7214 -33.9067  
4.9820 -11.3537 -21.3643  
5.0150 -12.7181 -14.5496  
5.0490 -13.8771 -32.7484  
5.0860 -15.2381 -128.3489  
5.1150 -15.7108 213.1923  
5.1490 -15.8840 14.0991  
5.1820 -16.0409 31.0803  
5.2160 -16.1044 32.8159  
5.2490 -15.8980 43.2421  
5.2820 -15.4378 43.0139  
5.3160 -15.1189 -62.3145  
5.3490 -14.4911 79.0713  
5.3830 -13.5138 70.0419  
5.4160 -11.7232 102.5622  
5.4480 -10.2338 99.0502  
5.4820 -8.5195 80.2562  
5.5160 -6.5928 92.6451  
5.5490 -4.4828 89.3729  
5.5830 -2.1725 100.8567  
5.6160 0.1980 61.2567  
5.6490 2.5093 -82.1206  
5.6820 4.7016 42.9818  
5.7170 6.7745 33.9363  
5.7490 8.6038 29.6396  
5.7820 10.1954 24.0415  
5.8150 11.5526 11.6396  
5.8520 12.9487 95.6355  
5.8820 14.3129 87.7133  
5.9160 14.7173 -181.4681  
5.9490 14.8493 -21.2665  
5.9830 15.1731 -23.3017  
6.0160 15.2522 -31.1678  
6.0490 15.1019 -33.5433  
6.0830 14.6836 -50.9083  
6.1160 14.4455 78.6584  
6.1490 13.8579 -94.3028  
6.1830 12.6431 -80.3646  
6.2150 10.8496 -98.6206  
6.2500 9.3786 -84.1645  
6.2820 7.6617 -98.7541  
6.3160 5.7073 -93.1427  
6.3490 3.5601 -89.5996  
6.3830 1.2534 -79.4818  
6.4160 -1.1278 -75.0081  
6.4490 -3.4870 85.3081  
6.4830 -5.6932 -46.5068  
6.5160 -7.7533 -38.5489  
6.5490 -9.5937 -29.0522  
6.5830 -11.2101 -20.7480  
6.6150 -12.5584 -14.9922  
6.6990 -14.2226 -75.2993  
6.7150 -14.9425 405.3241  
6.7490 -15.3443 14.0991  
6.7820 -15.3960 31.0803  
6.8160 -15.6177 32.8159  
6.8490 -15.5385 43.2421  
6.8820 -15.2349 29.4587  
6.9160 -14.7696 19.3653  
6.9490 -14.2188 4.5188  
6.9820 -13.3689 76.1171  
7.0160 -11.5480 99.5457  
7.0490 -10.0581 96.1933  
7.0830 -8.3439 80.1158  
7.1150 -6.4172 98.4354  
7.1490 -4.3071 86.7443  
7.1820 -2.0198 96.9517  
7.2160 0.3724 59.4320  
7.2490 2.8371 41.9274  
7.2830 5.4009 33.5470  
7.3160 7.4738 -72.6518  
7.3480 9.3030 29.6396  
7.3830 10.8942 22.6677  
7.4160 12.2514 11.6396  
7.4490 14.1216 250.9049  
7.4830 15.3244 -109.5423  
7.5190 16.1242 -23.0901  
7.5490 16.2644 -152.5038  
7.5820 16.1870 -23.9924  
7.6150 15.8927 -31.1759  
7.6490 15.7117 -37.1767  
7.6820 15.4195 -4.9883  
7.7160 15.1465 29.0189  
7.7490 14.5337 -91.3657  
7.7830 12.8235 -79.2305  
7.8170 11.1688 -93.1920  
7.8490 9.3040 -91.6445  
7.8820 7.6034 -88.9006  
7.9160 5.6426 -99.8110  
7.9490 3.5153 -81.6203  
7.9820 1.2406 -82.9930  
8.0150 -1.2883 -81.9963  
8.0490 -3.8066 32.1356  
8.0830 -6.0025 6.1484  
8.1160 -8.0563 -38.5731  
8.1490 -9.8891 -29.0721  
8.1820 -11.4992 -21.3650  
8.2160 -12.8640 -14.1210  
8.2490 -14.1893 -90.8756  
8.2860 -15.2253 5.3661  
8.3160 -15.6915 98.6838  
8.3480 -15.8072 24.9662  
8.3860 -15.9615 18.5866  
8.4160 -16.0250 37.2158  
8.4490 -15.8185 43.2677  
8.4830 -15.4286 25.7346  
8.5150 -14.9275 12.6819  
8.5490 -14.3353 12.7075  
8.5820 -13.1690 83.0613  
8.6160 -11.7069 92.8644  
8.6490 -10.2233 96.2113  
8.6820 -8.5473 82.5169  
8.7160 -6.6269 92.6779  
8.7490 -4.5232 89.3376  
8.7830 -2.2656 87.2969  
8.8160 0.1124 62.9879  
8.8490 2.4364 -4.0969  
8.8830 4.6326 -24.8521  
8.9160 6.6893 40.7832  
8.9500 8.5250 27.8789  
8.9830 10.1226 24.0255  
9.0150 11.4863 12.0231  
9.0500 12.8806 98.7814  
9.0820 14.1034 38.5272  
9.1160 14.5604 -137.9476  
9.1490 14.7393 -21.2791  
9.1820 14.8525 -23.9924  
9.2150 14.9474 -31.1759  
9.2490 14.7655 -41.8120  
9.2820 14.7246 71.4655  
9.3160 14.4800 -36.6202  
9.3490 13.8820 -95.4157  
9.3820 12.6689 -81.6314  
9.4160 11.0157 -93.1920  
9.4490 9.5382 -88.8674  
9.4830 7.8376 -86.2859  
9.5160 5.8767 -102.8356  
9.5490 3.7458 -82.7248  
9.5830 1.4868 -79.4801  
9.6160 -0.9451 19.0567  
9.6500 -3.3595 -31.4596  
9.6830 -5.5395 -24.3885  
9.7160 -7.5933 -43.3805  
9.7490 -9.4262 -29.0721  
9.7830 -11.0363 -20.7366  
9.8170 -12.4010 -14.1210  
9.8500 -13.7632 -102.0439  
9.8820 -15.1968 -107.6385  
9.9160 -15.6629 205.0603  
9.9490 -16.1121 24.2096  
9.9830 -16.3836 20.7733  
10.0160 -16.4630 33.8325  
10.0490 -16.2565 43.2677  
10.0830 -15.7963 46.3991  
10.1160 -15.4947 -69.4158  
10.1490 -14.8981 74.8235  
10.1830 -13.6950 79.3486  
10.2160 -11.8317 95.6785  
10.2490 -10.3481 96.2113  
10.2830 -8.6727 79.9308  
10.3150 -6.7748 91.5710  
10.3500 -4.6712 90.6951  
10.3820 -2.3677 107.0948  
10.4200 -0.2424 -5.4046  
10.4490 2.2230 38.3024  
10.4820 4.4149 -8.0577  
10.5160 6.4558 34.9476  
10.5490 8.2916 33.5003  
10.5830 9.8732 18.6486  
10.6160 11.2375 16.4706  
10.6490 12.9318 188.8292  
10.6830 14.3569 14.1570  
10.7160 14.7522 -208.2067  
10.7490 15.1136 -16.4876  
10.7830 15.2847 -23.2867  
10.8160 15.3796 -31.1759  
10.8490 15.2134 -43.0790  
10.8820 14.9172 -5.9209  
10.9160 14.6885 38.4902  
10.9500 14.0942 -91.5162  
10.9830 12.6037 -82.7577  
11.0160 10.7495 -95.6284  
11.0490 9.2878 -89.2551  
11.0830 7.5861 -86.6145  
11.1160 5.6252 -102.4970  
11.1490 3.4943 -82.7248  
11.1820 1.2353 -81.8885  
11.2160 -1.2687 -77.8215  
11.2520 -3.6213 78.4395  
11.2830 -5.8050 -45.9183  
11.3160 -7.8428 -38.5473  
11.3490 -9.6770 -33.9052  
11.3830 -11.2871 -20.7366  
11.4160 -12.6507 -14.5489  
11.4840 -14.3999 -106.4365  
11.5170 -15.1362 224.1773  
11.5490 -15.5225 24.9662  
11.5830 -15.5735 20.7733  
11.6160 -15.7953 33.8325  
11.6500 -15.7320 41.9951  
11.6830 -15.4283 34.2624  
11.7170 -15.1648 -44.7183  
11.7500 -14.6163 65.0239  
11.7820 -13.7499 84.3079  
11.8160 -11.8441 92.8644  
11.8490 -10.3605 96.2113  
11.8830 -8.6845 80.0899  
11.9160 -6.7867 88.6321  
11.9490 -4.7285 82.4144  
11.9830 -2.4938 93.9274  
12.0190 -0.1242 68.8496  
12.0490 2.2952 -34.0480  
12.0830 4.4802 -5.8497  
12.1160 6.5211 38.1094  
12.1500 8.3410 27.8608  
12.1830 9.9139 21.3342  
12.2150 11.2617 14.8023  
12.2500 13.0653 213.7440  
12.2830 14.3612 -71.3919  
12.3170 15.0715 -78.3179  
12.3500 15.2333 -91.1027  
12.3820 15.4181 -24.7421  
12.4160 15.5199 -30.2590  
12.4500 15.3538 -41.8120  
12.4830 15.2806 56.8566  
12.5160 15.0283 -32.9264  
12.5500 14.4461 -83.0922  
12.5830 12.8464 -81.6314  
12.6170 11.1655 -93.1920  
12.6500 9.4803 -82.0052  
12.6820 7.7785 -99.1045  
12.7160 5.8152 -100.2210  
12.7490 3.6843 -81.9638  
12.7860 1.4435 -68.1140  
12.8160 -1.2507 -88.5765  
12.8490 -4.0225 -56.4714  
12.8830 -6.1867 95.6386  
12.9160 -8.2245 -43.3517  
12.9500 -10.0413 -28.1965  
12.9830 -11.6581 -21.3774  
13.0170 -13.0057 -14.1097  
13.0500 -14.3749 -109.8014  
13.0830 -15.6073 -40.4985  
13.1160 -16.0917 150.2999  
13.1490 -16.2304 24.2096  
13.1830 -16.1122 20.7733  
13.2160 -16.2074 33.8325  
13.2490 -16.0169 43.2677  
13.2830 -15.6238 31.3753  
13.3160 -15.0928 20.4064  
13.3490 -14.4998 4.2450  
13.3830 -13.2871 75.6946  
13.4160 -11.6250 95.6785  
13.4500 -10.1641 86.7190  
13.4830 -8.4881 89.3813  
13.5160 -6.5903 88.6321  
13.5500 -4.5321 79.9905  
13.5830 -2.2974 96.7737  
