Tempo Angle omega x y
s degrees degrees/s  
0.0330 -9.1080 69.1228  
0.0650 -7.6361 69.8187  
0.0980 -5.9206 91.5381  
0.1300 -3.9034 56.6564  
0.1640 -1.6548 54.2046  
0.1960 0.5502 53.5669  
0.2300 2.6005 12.5832  
0.2640 4.4927 11.6552  
0.2960 6.0424 -28.9260  
0.3300 7.3992 20.4374  
0.3640 8.5646 12.7972  
0.3970 9.4118 -28.6936  
0.4640 10.0664 16.3230  
0.4960 10.5106 -9.0424  
0.5300 10.7187 -15.2715  
0.5630 10.6912 -19.4430  
0.5970 10.5257 -28.0159  
0.6300 10.4060 25.9010  
0.6630 10.3617 -5.1880  
0.6970 10.0660 -53.5258  
0.7300 9.5701 -47.4760  
0.7640 8.9758 -56.8034  
0.7890 7.9933 -111.4928  
0.8290 6.8176 -55.5446  
0.8630 5.4587 -69.1752  
0.8970 3.9139 -73.5345  
0.9310 2.2268 -69.8541  
0.9630 0.2784 -54.9559  
0.9970 -1.8636 -61.9827  
1.0300 -4.0218 -60.0606  
1.0630 -6.1836 -48.5553  
1.0970 -8.2287 -22.4832  
1.1300 -9.7489 74.6205  
1.1640 -11.0192 8.1148  
1.1970 -12.1162 -18.7417  
1.2330 -12.9986 -9.8377  
1.2630 -14.3028 -219.7479  
1.2970 -14.8954 157.5476  
1.3300 -15.0826 58.9964  
1.3640 -15.0184 15.6476  
1.3970 -14.7232 21.4418  
1.4310 -14.2779 21.6560  
1.4630 -14.2339 -48.4546  
1.4970 -14.2182 -0.1986  
1.5310 -13.9560 54.3233  
1.5670 -13.4642 53.9171  
1.5970 -12.1124 66.9324  
1.6300 -11.0607 71.3821  
1.6630 -9.9523 76.1909  
1.6970 -8.6496 72.7806  
1.7300 -7.1809 71.7318  
1.7630 -5.5643 67.1348  
1.7970 -3.5166 81.2061  
1.8300 -1.3113 47.5520  
1.8640 0.8970 55.1959  
1.8960 3.0788 52.3631  
1.9340 4.9867 -19.2063  
1.9630 6.5536 -36.3998  
1.9970 7.9386 20.4714  
2.0300 9.1139 11.4332  
2.0630 10.0898 11.3184  
2.1310 10.9341 13.2176  
2.1640 11.3924 -33.2927  
2.1970 11.6504 -13.1485  
2.2300 11.6655 -16.7347  
2.2640 11.4262 -25.5454  
2.2970 11.3990 42.1659  
2.3330 11.3288 -41.2734  
2.3630 11.1417 -15.7636  
2.3970 10.7357 -53.2799  
2.4300 10.1304 -49.0822  
2.4630 9.1384 -89.9512  
2.4980 8.0324 -63.9555  
2.5300 6.7461 -69.9021  
2.5630 5.2669 -75.1729  
2.5970 3.6503 -65.9794  
2.6300 1.6818 -64.4663  
2.6630 -0.3359 -59.9219  
2.6970 -2.4912 -54.4109  
2.7340 -4.6378 -46.5760  
2.7630 -6.7820 -55.0649  
2.7970 -8.4148 63.1295  
2.8300 -9.7449 23.9114  
2.8630 -10.9129 -18.6752  
2.8960 -11.8769 -13.3680  
2.9300 -12.5398 22.5756  
2.9630 -13.5845 -180.1639  
2.9970 -13.9138 152.2894  
3.0310 -14.0204 11.0467  
3.0630 -13.8840 22.1197  
3.0970 -13.6963 -31.9067  
3.1300 -13.7530 -9.0102  
3.1640 -13.7289 46.9624  
