Tempo;Ângulo;omega;x;y
s;graus;graus/s;;
"0,0010";"11,4253";"60,0981";;
"0,0320";"12,6142";"-39,6999";;
"0,0650";"13,5378";"2,4084";;
"0,0980";"14,0845";"-39,8383";;
"0,1310";"14,2484";"-45,8743";;
"0,1640";"13,9916";"-63,7129";;
"0,1980";"13,3986";"-63,4832";;
"0,2310";"12,3982";"-83,6042";;
"0,2640";"11,2184";"-78,1740";;
"0,2980";"9,8257";"-72,0927";;
"0,3310";"7,9309";"-88,4043";;
"0,3640";"5,8852";"-83,0358";;
"0,4010";"3,5877";"-65,8761";;
"0,4300";"1,1934";"-78,7467";;
"0,4640";"-1,2782";"-67,2635";;
"0,4980";"-3,6911";"-44,5516";;
"0,5310";"-6,0385";"-45,5815";;
"0,5640";"-8,1389";"-8,7525";;
"0,5970";"-9,9865";"-1,5568";;
"0,6650";"-11,6248";"-5,2704";;
"0,6980";"-12,8800";"27,6813";;
"0,7310";"-13,7676";"28,3708";;
"0,7640";"-14,2557";"47,1971";;
"0,7970";"-14,2973";"66,0986";;
"0,8310";"-13,9042";"60,5890";;
"0,8640";"-13,1151";"74,1198";;
"0,8980";"-11,8998";"81,0663";;
"0,9310";"-10,3790";"83,8576";;
"0,9640";"-8,5927";"78,8875";;
"0,9980";"-6,4945";"81,2080";;
"1,0310";"-4,2258";"79,3277";;
"1,0630";"-1,8549";"61,2124";;
"1,0970";"0,5892";"67,3362";;
"1,1310";"2,9863";"50,3109";;
"1,1640";"5,3252";"44,8235";;
"1,1970";"7,4503";"9,2972";;
"1,2310";"9,3958";"28,2586";;
"1,2980";"11,0302";"-5,1298";;
"1,3310";"12,3200";"-25,5261";;
"1,3680";"13,2632";"-19,0618";;
"1,3980";"13,7812";"-54,4788";;
"1,4310";"13,9204";"-55,4382";;
"1,4640";"13,5990";"-70,1880";;
"1,4990";"12,8780";"-65,2873";;
"1,5310";"11,7343";"-85,8898";;
"1,5640";"10,3147";"-74,2936";;
"1,5980";"8,5081";"-85,5740";;
"1,6310";"6,4751";"-79,0106";;
"1,6640";"4,2667";"-78,6841";;
"1,6970";"1,9129";"-65,4554";;
"1,7310";"-0,5156";"-70,0022";;
"1,7640";"-2,9321";"-51,8234";;
"1,7980";"-5,2489";"-38,7899";;
"1,8310";"-7,4418";"-31,6958";;
"1,8640";"-9,3414";"5,5665";;
"1,9310";"-10,9602";"5,3216";;
"1,9640";"-12,2970";"-2,7022";;
"1,9980";"-13,3022";"20,8412";;
"2,0310";"-13,9272";"36,5414";;
"2,0640";"-14,1256";"63,7853";;
"2,0970";"-13,8721";"64,8492";;
"2,1310";"-13,2336";"62,9208";;
"2,1640";"-12,1862";"83,9312";;
"2,1970";"-10,7900";"74,0360";;
"2,2310";"-9,1198";"85,9629";;
"2,2640";"-7,2250";"78,8575";;
"2,2970";"-5,0138";"93,1935";;
"2,3310";"-2,6596";"62,9016";;
"2,3640";"-0,2276";"60,1181";;
"2,3970";"2,1650";"51,8379";;
"2,4300";"4,4919";"44,9502";;
"2,4680";"6,7212";"30,6031";;
"2,4970";"8,7375";"22,0869";;
"2,5650";"10,4632";"-6,8173";;
"2,5980";"11,9010";"1,3384";;
"2,6310";"12,9829";"-29,0169";;
"2,6640";"13,6249";"-40,0929";;
"2,6970";"13,9009";"-46,0958";;
"2,7310";"13,7771";"-59,2391";;
"2,7640";"13,2555";"-68,7131";;
"2,7980";"12,2931";"-86,0304";;
"2,8310";"10,9689";"-74,3593";;
"2,8640";"9,3049";"-83,5910";;
"2,8980";"7,4251";"-77,1031";;
"2,9310";"5,2662";"-83,2372";;
"2,9640";"2,9584";"-74,1197";;
"2,9980";"0,5605";"-65,4342";;
"3,0310";"-1,8751";"-57,5104";;
"3,0630";"-4,2613";"-47,4985";;
"3,1020";"-6,5415";"-30,9711";;
"3,1310";"-8,6087";"-27,4239";;
"3,1980";"-10,3130";"17,5421";;
"3,2310";"-11,8126";"-21,5318";;
"3,2640";"-12,9560";"28,4525";;
"3,2990";"-13,7238";"28,8754";;
"3,3190";"-14,0914";"77,7489";;
"3,3630";"-14,0127";"50,8826";;
"3,3970";"-13,5139";"67,7267";;
"3,4300";"-12,6159";"74,9252";;
"3,4640";"-11,3060";"85,6170";;
"3,4980";"-9,6541";"77,1930";;
"3,5310";"-7,8270";"88,7014";;
"3,5640";"-5,6371";"88,4343";;
"3,5970";"-3,3266";"64,9540";;
"3,6310";"-0,8719";"72,1666";;
"3,6640";"1,6144";"56,6981";;
"3,6970";"4,0257";"45,0911";;
"3,7310";"6,3299";"36,2687";;
"3,7630";"8,4614";"23,2602";;
"3,7980";"10,3474";"13,0222";;
"3,8310";"12,0071";"10,9824";;
"3,8640";"13,2674";"-32,3448";;
"3,8980";"14,1707";"-19,1392";;
"3,9310";"14,7520";"-32,6529";;
"3,9640";"14,9163";"-51,9934";;
"3,9970";"14,7417";"-46,0277";;
"4,0300";"14,1759";"-73,4317";;
"4,0640";"13,2398";"-72,6330";;
"4,0980";"11,9691";"-76,5385";;
"4,1310";"10,3610";"-88,4217";;
"4,1680";"8,4703";"-66,5926";;
"4,1970";"6,3945";"-100,5965";;
"4,2310";"4,1368";"-72,6782";;
"4,2640";"1,7264";"-78,9025";;
"4,2980";"-0,7102";"-58,1869";;
"4,3310";"-3,1655";"-51,6686";;
"4,3640";"-5,5227";"-43,7378";;
"4,3980";"-7,7040";"-20,8678";;
"4,4300";"-9,5730";"16,2639";;
"4,4990";"-11,2374";"-12,6432";;
"4,5310";"-12,5883";"20,9736";;
"4,5640";"-13,5368";"33,5323";;
"4,5970";"-14,0875";"45,6805";;
"4,6310";"-14,1921";"54,6247";;
"4,6640";"-13,8227";"83,6642";;
"4,6980";"-13,0536";"67,4393";;
"4,7310";"-11,8788";"79,1971";;
"4,7640";"-10,3572";"83,5762";;
"4,7980";"-8,6116";"81,1767";;
"4,8310";"-6,4872";"88,3966";;
"4,8640";"-4,1698";"78,7702";;
"4,8980";"-1,7831";"52,9547";;
"4,9310";"0,6968";"73,9370";;
"4,9640";"3,1541";"49,4048";;
"4,9970";"5,4776";"43,1243";;
"5,0300";"7,6755";"31,4481";;
"5,0640";"9,6489";"10,8253";;
"5,1320";"11,3466";"0,0000";;
"5,1640";"12,6958";"-22,6223";;
"5,1970";"13,6542";"-30,0275";;
"5,2310";"14,2103";"-41,8771";;
"5,2640";"14,4079";"-54,0837";;
"5,2970";"14,1331";"-69,2041";;
"5,3310";"13,4978";"-58,0901";;
"5,3630";"12,4304";"-90,5483";;
"5,3970";"10,9839";"-80,9969";;
"5,4300";"9,2558";"-74,1606";;
"5,4650";"7,2363";"-83,2517";;
"5,4980";"5,0431";"-74,5803";;
"5,5300";"2,7196";"-71,6766";;
"5,5650";"0,3102";"-65,2464";;
"5,6010";"-2,0974";"-49,0538";;
"5,6310";"-4,4360";"-53,1399";;
"5,6640";"-6,6783";"-30,6585";;
"5,6980";"-8,6308";"0,0000";;
"5,7650";"-10,2968";"1,6746";;
"5,7970";"-11,7493";"-9,7882";;
"5,8310";"-12,7939";"34,2572";;
"5,8640";"-13,4631";"39,2017";;
"5,8970";"-13,7335";"51,3547";;
"5,9310";"-13,5515";"65,8698";;
"5,9640";"-12,9513";"73,2153";;
"5,9980";"-11,9563";"69,2278";;
"6,0310";"-10,5852";"83,3214";;
"6,0640";"-8,9536";"78,9340";;
"6,0980";"-7,0418";"85,7105";;
"6,1310";"-4,8580";"72,9539";;
"6,1640";"-2,5453";"74,3238";;
"6,1970";"-0,1492";"64,4862";;
"6,2310";"2,2713";"57,0235";;
"6,2670";"4,6145";"40,7377";;
"6,2970";"6,8155";"33,1517";;
"6,3310";"8,8404";"17,4121";;
"6,3640";"10,5310";"-17,9617";;
"6,3970";"11,9270";"-10,3518";;
"6,4310";"13,0176";"-4,1138";;
"6,4640";"13,8155";"-15,7404";;
"6,4980";"14,2416";"-37,2222";;
"6,5310";"14,2891";"-50,2437";;
"6,5640";"13,9309";"-64,1676";;
"6,5980";"13,2144";"-62,2593";;
"6,6310";"12,1408";"-78,0732";;
"6,6640";"10,7346";"-82,8498";;
"6,6980";"9,1399";"-72,8732";;
"6,7350";"7,2774";"-81,6168";;
"6,7640";"5,1852";"-84,0131";;
"6,7980";"2,9170";"-67,0577";;
"6,8310";"0,5412";"-70,9315";;
"6,8640";"-1,8803";"-64,1325";;
