Tempo Angle omega x y
s degrees degrees/s  
0.0010 20.1163 -19.2751  
0.0330 21.2001 -18.7977  
0.0650 21.7217 -73.0740  
0.1000 21.6016 -89.2618  
0.1320 20.8469 -108.3693  
0.1650 19.5151 -120.9140  
0.1980 17.7181 -126.8201  
0.2310 15.4925 -126.8538  
0.2650 12.9654 -133.2485  
0.2980 9.8222 -131.9096  
0.3310 6.3249 -127.1490  
0.3650 2.5814 -90.1162  
0.3980 -1.2332 -92.3991  
0.4310 -4.9924 -77.8733  
0.4650 -8.6185 -62.8691  
0.4980 -11.9935 -44.8351  
0.5320 -14.4511 146.7721  
0.5650 -16.8344 -104.3675  
0.5970 -18.8910 -39.4726  
0.6320 -20.3094 57.9595  
0.6640 -21.0761 72.5441  
0.6980 -21.2439 86.0554  
0.7310 -20.7972 93.7822  
0.7640 -19.7348 108.7169  
0.7980 -18.0232 128.0487  
0.8320 -15.7465 122.7015  
0.8640 -13.5334 136.0925  
0.8980 -10.5409 127.9070  
0.9320 -6.9824 129.3458  
0.9650 -3.3018 98.4525  
0.9980 0.4758 99.7471  
1.0320 4.2555 86.6692  
1.0650 7.9045 54.1922  
1.0980 11.2360 12.4765  
1.1310 14.1404 2.5470  
1.1640 16.4213 -62.5660  
1.1980 18.5143 72.8393  
1.2320 20.0826 -26.4150  
1.2640 21.1628 -15.0760  
1.2980 21.6663 -74.1016  
1.3320 21.5516 -85.0001  
1.3650 20.7723 -112.0637  
1.3980 19.4330 -115.5441  
1.4320 17.6340 -123.0901  
1.4650 15.3905 -132.1316  
1.5010 12.9004 -125.8556  
1.5310 9.7473 -138.4640  
1.5640 6.2871 -120.2668  
1.5980 2.5485 -96.0991  
1.6310 -1.2362 -90.2816  
1.6640 -5.0118 -84.8372  
1.6980 -8.6125 -57.3190  
1.7310 -11.9313 -30.0962  
1.7990 -14.8172 2.0952  
1.8310 -17.2912 -7.5058  
1.8650 -19.1201 56.4586  
1.8970 -20.2781 79.8691  
1.9310 -20.7665 80.1814  
1.9650 -20.6252 89.1180  
1.9980 -19.8427 104.0200  
2.0320 -18.3320 131.8569  
2.0650 -16.1935 131.1514  
2.0980 -13.5377 126.6890  
2.1190 -10.4437 215.4182  
2.1640 -6.9034 93.8403  
2.1980 -3.2302 95.5569  
2.2320 0.5345 102.1006  
2.2640 4.3034 86.4682  
2.2980 7.9846 63.3411  
2.3320 11.3927 20.6349  
2.3640 14.3282 -7.6015  
2.3970 16.6171 -64.7588  
2.4310 18.7322 71.8294  
2.4660 20.3131 -23.3714  
2.4980 21.3676 -32.5488  
2.5310 21.8635 -70.8114  
2.5650 21.7234 -84.9840  
2.5980 20.9368 -112.0320  
2.6310 19.5360 -120.8567  
2.6640 17.6642 -121.4786  
2.6980 15.3806 -128.2935  
2.7310 12.8763 -131.6111  
2.7640 9.6788 -136.0430  
2.7980 6.1850 -111.2407  
2.8310 2.4695 -98.6965  
2.8640 -1.2913 -84.5944  
2.9000 -5.0421 -77.4461  
2.9310 -8.6533 -74.2437  
2.9650 -11.9944 -37.8557  
2.9980 -14.5518 116.0086  
3.0320 -17.0329 -105.8706  
3.0650 -19.0646 4.5949  
3.0980 -20.4380 63.4202  
3.1320 -21.2029 67.7290  
