cuadro,x_px,y_px
0,643.454,67.367
1,643.171,80.028
2,643.027,92.954
3,642.838,105.779
4,642.664,119.43
5,642.441,133.259
6,642.169,147.43
7,642.026,162.05
8,641.761,177.18
9,641.555,192.148
10,641.115,207.904
11,640.915,223.967
12,640.652,240.414
13,640.379,257.235
14,640.153,274.491
15,639.917,291.83
16,639.673,309.517
17,639.383,327.927
18,639.288,346.249
19,638.932,364.894
20,638.742,383.984
21,638.572,403.068
22,638.262,422.339
23,638.046,442.184
24,637.894,462.5
25,637.797,482.775
26,637.561,503.56
27,637.456,523.862
28,637.37,545.171
29,637.27,566.615
30,637.145,588.259
31,636.915,610.245
32,636.9,632.199
33,636.751,654.396
34,636.611,677.096
35,636.47,699.702
36,636.23,722.267
37,636.004,745.399
38,635.876,768.639
39,635.574,791.908
40,635.257,815.373
41,635.081,831.68
42,636.979,899.76
43,632.933,901.007
