t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.070594,-0.002421,-0.270241,0.222706,-0.06491,0.381104,0.315683,0.051003
1,-0.070707,-0.002443,-0.270673,0.223236,-0.065068,0.382006,0.31645,0.051227
2,-0.070584,-0.002464,-0.2707,0.223322,-0.065025,0.3822,0.316536,0.051239
3,-0.070934,-0.002599,-0.270823,0.223499,-0.065016,0.382013,0.316297,0.050759
4,-0.071297,-0.002757,-0.270314,0.222886,-0.064916,0.381444,0.315452,0.050806
5,-0.071429,-0.002777,-0.270385,0.222809,-0.065002,0.38133,0.315406,0.050754
6,-0.071237,-0.002711,-0.270383,0.222962,-0.064948,0.381239,0.315345,0.050826
7,-0.071346,-0.002538,-0.270341,0.223096,-0.064997,0.381093,0.315445,0.05062
8,-0.071619,-0.002601,-0.270891,0.223668,-0.065271,0.381849,0.316135,0.050643
9,-0.071545,-0.002617,-0.271056,0.223746,-0.065198,0.381828,0.316325,0.050693
10,-0.071307,-0.002672,-0.270875,0.223358,-0.065027,0.381405,0.315829,0.050645
11,-0.071565,-0.002589,-0.271172,0.223551,-0.065316,0.381737,0.316229,0.050389
12,-0.071567,-0.002447,-0.271294,0.223491,-0.065598,0.381779,0.316398,0.050398
13,-0.071326,-0.002451,-0.270812,0.223118,-0.065685,0.381345,0.315985,0.050632
14,-0.071314,-0.002874,-0.270863,0.223205,-0.065977,0.381704,0.315823,0.05089
15,-0.071198,-0.003021,-0.271132,0.223518,-0.065965,0.382324,0.316215,0.050766
16,-0.070673,-0.003211,-0.270917,0.223283,-0.065354,0.381596,0.31587,0.050613
17,-0.070643,-0.003129,-0.270595,0.223239,-0.065248,0.381163,0.315912,0.050402
18,-0.071214,-0.002849,-0.270593,0.223445,-0.065862,0.381452,0.316754,0.050505
19,-0.071073,-0.003009,-0.270498,0.223634,-0.065799,0.381443,0.316578,0.050932
20,-0.07098,-0.003122,-0.270315,0.223791,-0.065419,0.381289,0.316248,0.050972
21,-0.07099,-0.003011,-0.270492,0.224363,-0.065445,0.381984,0.316642,0.050828
22,-0.071245,-0.002766,-0.270238,0.224319,-0.065366,0.381845,0.316587,0.050266
