cuadro,s1,s2,s3,s4
0,534.92,430.96,584.251,497.581
1,534.52,438.69,584.448,502.913
2,534.333,446.698,584.739,508.41
3,534.119,454.627,584.633,514.4
4,534.167,464.839,586.819,520.901
5,534.098,471.45,586.25,527.327
6,534.093,481.176,587.865,534.392
7,534.125,491.707,590.3,541.681
8,534.302,503.157,593.374,549.288
9,534.89,515.969,597.305,556.967
10,538.151,544.555,608.063,571.853
11,540.632,560.09,614.152,579.353
12,549.597,595.354,631.981,590.68
13,558.946,613.607,640.445,595.595
14,567.499,632.234,648.026,601.31
15,578.665,651.43,655.88,605.701
16,592.446,670.791,661.861,613.306
17,616.147,685.938,668.345,612.242
18,639.425,699.408,679.505,601.935
19,654.363,725.453,685.799,606.78
20,699.142,636.657,689.257,579.231
21,725.054,712.803,703.215,609.317
22,749.241,697.173,705.676,607.95
23,791.48,667.065,719.06,602.927
24,806.109,647.695,725.75,595.906
25,818.54,628.081,734.332,594.08
26,825.055,610.524,740.846,588.362
27,830.424,589.674,746.556,582.116
28,835.253,571.132,752.882,575.947
29,837.341,540.259,761.263,561.71
30,827.761,542.106,750.763,545.027
31,828.15,531.21,752.678,538.9
32,828.209,521.092,753.544,532.81
33,827.906,511.893,753.852,526.967
34,827.62,502.769,754.772,521.851
35,827.434,493.738,755.691,517.125
36,826.911,484.889,756.8,512.905
37,825.759,477.847,756.235,508.497
38,824.736,470.316,756.689,504.71
39,823.5,463.665,756.65,501.195
40,822.133,457.409,757.128,498.023
41,820.693,451.718,757.091,494.963
42,819.104,446.562,756.89,492.485
43,817.461,442.261,757.026,490.177
44,815.918,438.022,757.565,487.98
45,814.164,435.231,756.547,486.249
46,812.414,432.922,755.991,484.854
47,810.668,431.545,754.907,483.723
48,809.248,430.602,754.529,482.87
49,807.773,429.471,754.629,482.17
50,806.549,430.145,753.941,481.842
51,805.16,431.581,752.239,481.977
52,803.888,432.827,751.543,482.199
53,803.051,434.647,751.295,482.616
54,802.123,437.705,750.025,483.383
55,801.082,441.192,748.321,484.571
56,814.026,464.115,756.256,452.496
57,799.639,449.511,746.275,487.065
58,813.926,471.814,755.023,457.964
59,814.548,476.318,754.946,461.756
60,814.749,481.489,754.637,466.054
61,814.401,486.739,753.548,470.222
62,815.362,493.279,753.85,475.006
63,814.328,499.472,752.292,479.891
64,814.36,506.706,751.462,485.226
65,812.716,514.002,749.357,490.288
66,811.823,522.196,747.894,496.191
67,809.949,530.612,746.429,502.154
68,807.417,539.305,744.858,508.482
69,804.845,548.587,743.668,515.283
70,801.406,558.164,741.943,522.11
71,796.794,567.481,740.192,529.039
72,790.088,576.306,737.731,535.805
73,782.961,585.421,735.497,542.7
74,773.964,594.114,732.235,548.553
75,763.979,601.831,728.091,553.212
76,754.6,609.442,723.997,557.528
77,744.942,615.387,716.56,560.818
78,736.406,621.826,708.425,568.956
79,725.274,626.497,696.274,579.749
80,712.917,629.414,677.936,589.357
81,698.812,605.632,630.679,618.595
82,682.648,608.638,614.755,623.748
83,667.083,615.248,596.146,629.918
84,659.818,615.211,583.284,638.34
85,654.571,606.061,576.242,645.979
86,646.733,599.786,567.741,652.699
87,639.846,591.2,561.941,657.535
88,630.368,585.337,556.225,661.414
89,622.85,576.642,554.204,661.986
90,616.776,568.154,554.217,659.899
91,611.185,560.967,555.91,654.945
92,605.43,554.742,558.846,648.788
93,601.282,548.071,562.562,639.96
94,597.472,542.226,567.022,631.21
95,593.946,536.983,571.729,621.748
96,592.154,530.931,575.375,609.217
97,587.104,528.54,583.282,602.737
98,614.548,512.687,570.07,563.778
99,618.579,508.518,570.086,550.015
100,613.016,523.355,555.499,521.571
101,612.439,515.508,553.199,515.577
102,616.6,504.951,552.623,506.297
103,618.724,501.194,552.645,502.727
104,619.264,497.101,551.604,499.837
105,616.753,491.543,551.913,495.822
106,615.098,488.852,552.204,494.438
107,612.549,485.355,551.709,493.552
108,610.953,481.968,551.941,493.028
109,608.265,473.55,553.198,493.582
110,606.17,469.658,553.709,494.723
111,603.785,467.087,554.025,495.901
112,574.144,437.612,579.438,501.048
113,566.592,439.081,579.543,503.976
114,558.662,442.949,580.503,507.569
115,551.267,446.775,581.473,510.916
116,544.031,451.997,582.565,514.574
117,537.079,458.688,584.17,518.473
118,530.877,467.686,587.008,522.53
119,524.995,475.943,588.82,526.523
120,520.611,487.858,592.261,530.656
121,515.064,496.458,593.071,534.981
122,511.768,509.063,596.182,539.09
123,507.702,520.69,597.049,543.977
124,506.234,535.357,600.122,548.349
125,504.98,549.93,602.247,553.124
126,508.77,567.304,606.952,556.382
127,512.802,584.217,610.059,560.482
128,525.139,617.46,616.681,568.231
129,535.46,633.658,620.406,571.848
130,545.893,649.933,623.796,576.405
131,559.348,665.057,627.925,580.084
132,576.648,676.249,632.356,583.635
133,595.702,685.512,637.596,586.512
134,616.1,693.417,643.062,589.524
135,637.956,699.492,647.611,595.376
136,650.722,683.148,655.546,592.807
137,655.096,643.193,665.154,580.867
138,721.289,722.163,665.791,613.653
139,732.023,705.348,673.174,610.259
140,745.103,691.347,685.428,604.23
141,760.55,683.278,697.608,608.583
142,776.714,674.714,707.619,612.494
143,788.763,665.496,714.558,606.085
144,800.647,656.831,722.849,598.628
145,813.01,648.36,732.026,594.491
146,824.653,639.994,739.805,589.016
147,834.103,631.598,745.16,581.61
148,842.63,623.603,749.568,573.894
149,849.345,615.835,752.825,565.44
150,854.613,607.533,755.189,557.43
151,861.989,599.27,758.392,551.19
152,868.839,591.358,761.75,545.524
153,873.184,583.792,763.799,539.467
