cuadro,x_px,y_px
0,922.713,77.295
1,916.538,79.064
2,913.881,80.816
3,912.511,84.455
4,907.14,88.597
5,897.205,99.743
6,898.412,100.245
7,893.372,109.752
8,890.748,118.201
9,894.428,127.222
10,892.786,139.965
11,884.919,153.206
12,879.24,173.899
13,902.776,216.036
14,929.365,274.529
15,956.635,345.936
16,983.3,401.459
17,1002.97,442.358
18,1009.898,475.44
19,1011.655,504.49
20,1003.611,503.207
21,990.113,498.761
22,975.093,504.042
23,963.291,501.39
24,963.318,519.212
25,958.356,529.797
26,946.504,522.956
27,934.475,534.354
28,937.701,544.685
29,922.779,551.325
30,909.864,572.835
31,903.168,579.103
32,893.733,589.914
33,890.445,602.97
34,878.59,611.107
35,867.081,636.063
36,863.959,643.135
37,864.376,636.872
38,862.793,635.376
