cuadro,x_px,y_px
0,655.689,536.085
1,653.48,536.402
2,656.023,534.887
3,666.469,532.427
4,669.345,533.934
5,674.931,526.605
6,690.075,510.65
7,707.374,485.823
8,730.19,465.741
9,738.033,430.119
10,763.869,382.17
11,717.537,375.041
12,687.549,384.095
13,648.567,399.283
14,664.89,423.848
15,650.722,434.361
16,686.421,452.791
17,768.024,455.378
18,796.093,485.203
19,836.011,507.698
20,849.024,536.813
21,851.946,544.857
22,842.769,548.75
23,833.019,561.159
24,838.659,568.142
25,830.175,581.276
26,831.57,593.798
27,815.925,595.568
28,809.326,593.736
29,803.229,587.754
