cuadro,x_px,y_px
0,807.273,289.524
1,798.792,276.68
2,782.827,235.936
3,774.667,222.972
4,774.995,218.144
5,792.366,243.325
6,797.85,242.019
7,810.107,267.261
8,832.692,311.482
9,853.315,353.182
10,868.31,389.086
11,884.167,429.279
12,895.672,463.961
13,904.49,490.306
14,907.975,512.873
15,908.044,531.606
16,900.096,542.429
17,897.238,560.327
18,889.988,571.997
19,881.179,581.878
20,879.978,602.624
21,874.468,616.152
22,868.275,635.885
23,859.468,648.071
24,848.335,652.882
25,840.678,667.855
26,833.768,684.668
27,825.469,699.635
28,823.85,716.864
29,822.092,729.861
30,838.092,747.669
31,840.524,750.785
32,844.581,732.053
