t,s1
0.037,-2.9266
0.099,-3.8707
0.132,-4.6088
0.165,-5.0414
0.199,-5.193
0.232,-5.2233
0.265,-5.1381
0.299,-4.9606
0.332,-4.4873
0.365,-3.7707
0.399,-2.8194
0.432,-1.6811
0.47,-0.4797
0.485,0.5137
0.532,1.5096
0.565,2.6608
0.599,3.7061
0.666,4.6757
0.698,5.3905
0.732,5.7874
0.765,5.9412
0.798,5.9873
0.832,5.8301
0.866,5.6198
0.899,5.1523
0.931,4.2987
0.966,3.3168
0.999,2.1632
1.032,1.013
1.065,-0.0487
1.098,-1.0644
1.133,-2.2484
1.166,-3.4264
1.198,-4.7205
1.232,-5.4489
1.265,-5.865
1.298,-6.0274
1.332,-6.0939
1.365,-6.0519
1.399,-5.8909
1.432,-5.5966
1.465,-4.9794
1.498,-4.0491
1.532,-2.6354
1.565,-1.4391
1.599,-0.236
1.632,0.7666
1.665,1.8532
1.699,2.9666
1.732,3.8874
1.765,5.0361
1.798,5.7175
1.832,6.1138
1.865,6.2433
1.898,6.1538
1.932,6.0895
1.966,5.9886
1.999,5.6416
2.032,4.9951
2.066,4.2108
2.098,2.9336
2.132,1.8079
2.166,0.7611
2.198,-0.2459
2.232,-1.2841
2.266,-2.4443
2.299,-3.7758
2.332,-4.9635
2.366,-5.6127
2.399,-5.9842
2.432,-6.0866
2.465,-5.9968
2.499,-5.9747
2.532,-5.8329
2.566,-5.5005
2.599,-4.8602
2.632,-3.6988
2.671,-2.3201
2.686,-1.1681
2.737,-0.1167
2.751,0.879
2.799,1.8117
2.832,2.9082
2.852,4.1163
2.899,5.2008
2.932,5.777
2.966,6.1026
2.999,6.1904
3.032,6.1949
3.066,6.2392
3.099,6.0411
3.131,5.6244
3.165,4.9359
3.199,3.7769
3.232,2.5412
3.265,1.4664
3.298,0.4944
3.332,-0.5033
3.365,-1.6356
3.399,-2.7553
3.431,-4.2706
3.466,-5.2647
3.499,-5.8412
3.531,-6.0661
3.565,-6.1252
3.598,-6.1024
3.631,-6.1161
3.665,-5.9123
3.698,-5.4525
3.733,-4.7488
3.765,-3.2995
3.799,-2.015
3.832,-0.891
3.866,0.198
3.898,1.1847
3.931,2.2682
3.965,3.3289
3.999,4.4144
4.032,5.3067
4.065,5.8494
4.098,6.134
4.132,6.1622
4.165,6.0698
4.198,5.958
4.237,5.7083
4.251,5.1895
4.299,4.4808
4.332,3.3852
4.365,2.2027
4.398,1.0943
4.432,-0.0158
4.465,-1.0043
4.499,-2.0267
4.532,-3.1047
4.599,-4.1492
4.632,-4.8185
4.665,-5.2351
4.698,-5.3564
4.732,-5.3483
4.765,-5.2585
4.799,-4.9761
4.832,-4.5119
4.869,-3.782
4.883,-2.8488
4.932,-1.5592
4.965,-0.4297
4.999,0.5498
5.032,1.5185
5.065,2.5459
5.098,3.5152
5.166,4.4793
5.199,5.1578
5.232,5.5508
5.265,5.8466
5.298,5.8332
5.332,5.6521
5.369,5.4092
5.383,4.9264
5.432,4.1342
5.465,3.2333
5.499,2.1121
5.531,1.0085
5.565,0.032
5.599,-1.0985
5.632,-2.2199
5.665,-3.2244
5.699,-4.397
5.723,-5.0608
5.749,-5.4113
5.799,-5.5731
5.832,-5.6271
5.865,-5.5936
5.899,-5.5012
5.932,-5.2256
5.965,-4.6189
5.999,-3.835
6.032,-2.5113
6.065,-1.4289
6.099,-0.3038
6.132,0.6849
6.165,1.7396
6.199,2.8112
6.232,3.6977
6.265,4.743
6.281,5.3644
6.332,5.7501
6.37,5.8601
6.384,5.8354
6.432,5.743
6.465,5.634
6.499,5.2802
6.532,4.6589
6.566,3.92
6.599,2.761
6.632,1.7007
6.665,0.6687
6.699,-0.3019
6.732,-1.2811
6.765,-2.3784
6.799,-3.6936
6.832,-4.8198
6.87,-5.4323
6.883,-5.739
6.932,-5.8375
6.948,-5.7759
6.998,-5.7045
7.032,-5.5543
7.065,-5.2032
7.099,-4.5464
7.132,-3.3801
7.149,-2.034
7.199,-0.9091
7.232,0.0611
7.265,1.0318
7.298,2.0257
7.333,3.0214
7.365,4.0727
7.398,4.981
7.414,5.5487
7.465,5.8522
7.499,5.9156
7.532,5.9895
7.566,6.0188
7.599,5.8427
7.632,5.388
7.665,4.7612
7.681,3.7803
7.732,2.6788
7.765,1.6282
7.799,0.5438
7.832,-0.4266
7.866,-1.5632
7.898,-2.6412
7.932,-3.811
7.965,-4.8195
7.998,-5.3323
8.015,-5.5892
8.065,-5.6566
8.081,-5.6066
8.132,-5.4755
8.165,-5.2694
8.182,-4.8516
8.232,-4.1527
8.248,-3.0343
8.299,-1.7345
8.332,-0.6598
8.365,0.3105
8.398,1.2722
8.435,2.2514
8.449,3.2392
8.532,4.342
8.548,5.0835
8.599,5.5749
8.632,5.7658
8.665,5.8307
8.681,5.7296
8.732,5.5573
8.766,5.1493
8.799,4.4469
8.832,3.5804
8.866,2.3339
8.899,1.2514
8.931,0.226
8.948,-0.7534
8.999,-1.8137
9.016,-2.8326
9.081,-3.7448
9.132,-4.3958
9.148,-4.7798
9.198,-5.0049
9.214,-5.0217
9.266,-4.9012
9.299,-4.7314
9.332,-4.2469
9.365,-3.5423
9.386,-2.623
9.415,-1.5337
9.466,-0.4354
9.499,0.5351
9.532,1.5738
9.565,2.6189
9.599,3.4826
9.665,4.3809
9.681,4.9673
9.732,5.3216
9.748,5.4517
9.8,5.4967
9.832,5.3406
9.865,5.101
9.899,4.6398
9.915,3.8449
9.965,2.9966
9.998,1.9541
10.014,0.9786
10.066,0.017
10.098,-0.9532
10.115,-2.0557
10.166,-3.1537
10.199,-4.5142
10.215,-5.173
10.265,-5.5094
10.281,-5.6498
10.333,-5.6298
10.366,-5.6356
10.399,-5.5204
10.432,-5.2886
10.448,-4.6775
10.502,-3.7824
10.516,-2.3016
10.566,-1.2163
10.599,-0.1329
10.632,0.8195
10.665,1.7557
10.681,2.8121
10.732,3.9446
10.748,5.0549
10.799,5.6701
10.832,6.0852
10.848,6.2135
10.899,6.31
10.914,6.2337
10.966,6.1456
10.999,5.8003
11.015,5.1832
11.066,4.0968
11.099,2.9228
11.115,1.8573
11.165,0.7297
11.181,-0.2228
11.231,-1.3346
11.248,-2.3942
11.299,-3.6556
11.314,-4.6643
