t,s1
0.015,15.191
0.073,14.9658
0.09,14.3191
0.11,13.2523
0.148,12.0565
0.182,10.8417
0.215,9.4499
0.248,7.4533
0.282,5.0325
0.314,2.4429
0.348,-0.1999
0.382,-2.8213
0.414,-5.3415
0.449,-7.7332
0.481,-9.3446
0.515,-10.9889
0.549,-12.7217
0.582,-13.4612
0.615,-14.2545
0.648,-14.8592
0.681,-15.0908
0.715,-14.923
0.749,-14.3718
0.781,-13.4457
0.814,-12.7969
0.848,-11.4681
0.881,-9.4983
0.916,-7.9083
0.949,-5.6811
0.981,-3.1422
1.015,-0.5175
1.048,2.1452
1.082,4.7608
1.115,7.2985
1.148,9.5029
1.182,11.0141
1.215,12.4582
1.248,13.3723
1.282,13.8498
1.315,14.5646
1.348,14.983
1.382,14.9951
1.414,14.5813
1.449,13.7611
1.481,12.8027
1.515,11.9233
1.548,10.5264
1.582,9.06
1.615,7.4294
1.648,5.0419
1.681,2.4626
1.715,-0.1643
1.748,-2.7504
1.781,-5.2591
1.815,-7.6459
1.849,-9.16
1.881,-10.7495
1.915,-12.4771
1.948,-13.1384
1.982,-13.9508
2.014,-14.5612
2.048,-14.8247
2.081,-14.6888
2.115,-14.1489
2.148,-13.2459
2.181,-12.6943
2.215,-11.4364
2.248,-9.4826
2.281,-7.9842
2.315,-5.7834
2.348,-3.2625
2.381,-0.6345
2.415,2.0279
2.449,4.6641
2.482,7.1985
2.515,9.4517
2.548,10.9527
2.615,12.2016
2.648,13.0052
2.682,14.0248
2.714,14.7096
2.749,14.972
2.782,14.7792
2.815,14.1305
2.849,13.0799
2.881,11.8208
2.915,10.6671
2.948,9.1866
2.982,7.563
3.015,5.155
3.048,2.5782
3.082,-0.0453
3.114,-2.6348
3.148,-5.1462
3.182,-7.4718
3.215,-9.0077
3.248,-10.2795
3.285,-11.9704
3.32,-12.6488
3.344,-13.4423
3.381,-14.0731
3.415,-14.34
3.448,-14.22
3.482,-13.6962
3.514,-12.8522
3.548,-12.3104
3.581,-11.3859
3.615,-9.453
3.648,-7.9705
3.682,-5.7727
3.715,-3.2659
3.748,-0.6379
3.782,2.0245
3.815,4.6282
3.848,7.1655
3.882,9.417
3.915,10.9216
3.982,12.2323
4.015,13.1537
4.048,14.1565
4.082,14.862
4.115,15.1406
4.148,14.9477
4.181,14.3288
4.215,13.3049
4.248,12.0475
4.281,10.906
4.315,9.3903
4.349,7.6251
4.381,5.2359
4.415,2.6544
4.449,0.0272
4.481,-2.5623
4.515,-5.0665
4.548,-7.407
4.581,-9.3485
4.615,-11.0273
4.652,-12.9504
4.681,-13.584
4.715,-14.3852
4.748,-15.0348
4.782,-15.3142
4.815,-15.1942
4.848,-14.6908
4.882,-13.8636
4.915,-12.932
4.949,-11.6163
4.982,-9.4883
5.015,-8.0267
5.048,-5.8371
5.082,-3.3116
5.115,-0.6869
5.149,1.9755
5.182,4.5906
5.215,7.1116
5.249,9.3669
5.281,10.8824
5.349,12.4048
5.382,13.23
5.415,14.263
5.448,14.98
5.482,15.2458
5.515,15.0654
5.549,14.4643
5.581,13.4407
5.615,12.2099
5.648,11.0413
5.682,9.2982
5.715,7.6846
5.748,5.2633
5.781,2.673
5.816,0.062
5.851,-2.5401
5.881,-5.0574
5.915,-7.4135
5.949,-9.399
5.981,-11.0001
6.015,-13.0012
6.049,-13.6744
6.082,-14.478
6.115,-15.1303
6.149,-15.4097
6.181,-15.2897
6.215,-14.8022
6.248,-13.9594
6.281,-13.0142
6.315,-11.7916
6.348,-9.6015
6.381,-8.1409
6.415,-5.9667
6.448,-3.4572
6.482,-0.8325
6.514,1.8138
6.548,4.4448
6.582,6.9817
6.615,9.2554
6.648,10.8209
6.682,12.3612
6.715,13.5413
6.748,14.0505
6.782,14.8259
6.818,15.2926
6.848,15.3489
6.881,14.9994
6.915,14.2436
6.948,13.2634
6.981,12.4246
7.015,10.9947
7.048,9.3255
7.082,7.7276
7.115,5.3566
7.149,2.7794
7.182,0.1723
7.214,-2.4138
7.249,-4.9224
7.281,-7.2819
7.315,-8.9447
7.349,-10.6373
7.381,-12.6135
7.415,-13.3076
7.448,-14.1028
7.482,-14.7682
7.515,-15.0634
7.548,-14.9753
7.582,-14.4993
7.615,-13.6712
7.649,-13.0659
7.682,-11.7838
7.714,-9.6343
7.749,-8.1993
7.785,-6.0633
7.815,-3.5697
7.849,-0.9578
7.881,1.6884
7.915,4.3077
7.948,6.8627
7.981,9.218
8.015,10.6901
8.048,12.1355
8.082,13.4262
8.115,14.0472
8.149,14.8698
8.182,15.3493
8.214,15.4259
8.249,15.0881
8.282,14.3323
8.315,13.2705
8.349,12.5408
8.381,11.2217
8.415,9.4883
8.451,7.8092
8.482,5.4069
8.515,2.8588
8.548,0.2634
8.583,-2.3107
8.615,-4.8193
8.648,-7.174
8.682,-8.7368
8.715,-10.4343
8.749,-12.2659
8.782,-13.0434
8.816,-13.7418
8.853,-14.4363
8.881,-14.7475
8.915,-14.6714
8.948,-14.1954
8.983,-13.3562
9.015,-12.8508
9.049,-11.5796
9.082,-9.5905
9.115,-8.0708
9.148,-6.0456
9.182,-3.552
9.215,-0.9562
9.249,1.6738
9.281,4.2932
9.315,6.816
9.348,9.1328
9.382,10.5949
9.415,12.0426
9.448,13.3919
9.483,13.9411
9.515,14.7741
9.548,15.2535
9.587,15.342
9.615,15.0237
9.649,14.3001
9.682,13.3085
9.715,12.5889
9.748,11.2832
9.782,9.4912
9.815,7.9148
9.848,5.5179
9.882,2.9886
9.915,0.3974
9.949,-2.1962
9.982,-4.7047
10.015,-7.0719
10.049,-9.0632
10.082,-10.7747
10.149,-11.8543
10.182,-12.959
10.215,-13.8886
10.248,-14.4345
10.282,-14.5778
10.315,-14.2853
10.349,-13.5873
10.382,-12.5454
10.414,-11.28
10.448,-9.7264
10.481,-8.2198
10.515,-6.1057
10.549,-3.6281
10.581,-1.0323
10.615,1.5976
10.648,4.2008
10.682,6.7187
10.715,9.0324
10.75,10.478
