t,s1
0.032,-8.1053
0.064,-7.3656
0.097,-6.3621
0.129,-5.1242
0.163,-3.6419
0.186,-2.1802
0.23,-0.5786
0.263,1.0937
0.297,2.9249
0.33,4.8932
0.363,6.5603
0.396,7.8856
0.43,9.1102
0.463,10.2666
0.497,10.8925
0.53,11.5123
0.563,12.0166
0.596,12.2203
0.63,11.722
0.662,11.029
0.696,10.4294
0.73,9.7973
0.763,8.7294
0.796,7.2515
0.83,5.7946
0.864,4.087
0.896,2.0494
0.93,0.2491
0.963,-1.2176
0.996,-2.7191
1.03,-4.2635
1.066,-5.7069
1.096,-6.8877
1.164,-7.8296
1.197,-8.4963
1.23,-8.9056
1.264,-9.0095
1.296,-9.1208
1.33,-9.0198
1.363,-8.8257
1.396,-8.4144
1.434,-7.7167
1.463,-6.7748
1.497,-5.5939
1.53,-4.2015
1.563,-2.7729
1.596,-1.1609
1.63,0.4267
1.663,2.1874
1.697,4.0538
1.73,5.7698
1.763,7.0879
1.796,8.3116
1.83,9.4922
1.863,10.3388
1.899,10.9986
1.929,11.4655
1.963,11.82
1.997,11.5858
2.03,10.9666
2.066,10.407
2.094,9.8662
2.13,8.9413
2.163,7.5815
2.197,6.0691
2.23,4.4516
2.263,2.5389
2.296,0.5124
2.33,-1.0848
2.363,-2.4857
2.397,-4.0231
2.429,-5.4725
2.463,-6.7031
2.496,-7.5854
2.53,-8.4794
2.563,-8.9826
2.596,-9.2169
2.63,-9.2264
2.664,-9.254
2.697,-9.0834
2.73,-8.7222
2.763,-8.2874
2.797,-7.6043
2.83,-6.7927
2.863,-5.5057
2.897,-4.1646
2.93,-2.6462
2.963,-1.1465
2.997,0.4614
3.03,2.1143
3.063,3.9436
3.096,5.6597
3.13,7.1825
3.163,8.4118
3.23,9.4202
3.263,10.1974
3.296,10.7611
3.33,11.3474
3.363,11.2835
3.397,11.1331
3.43,10.5644
3.463,9.9218
3.496,9.0104
3.53,7.9308
3.563,6.6241
3.597,5.0727
3.63,3.2998
3.663,1.3452
3.702,-0.3408
3.729,-1.9808
3.763,-3.5695
3.797,-5.0548
3.83,-6.3263
3.863,-7.338
3.897,-8.3388
3.93,-8.9098
3.951,-9.2334
3.997,-9.379
4.03,-9.2573
4.063,-9.1442
4.096,-9.0497
4.13,-8.6978
4.163,-8.0724
4.197,-7.2462
4.23,-5.983
4.263,-4.7075
4.297,-3.196
4.33,-1.6175
4.363,-0.1808
4.396,1.6188
4.43,3.6602
4.463,5.4637
4.496,7.0701
4.53,8.4125
4.563,9.4297
4.597,10.4093
4.63,10.9711
4.663,11.4464
4.697,12.0643
4.733,12.0308
4.763,11.651
4.797,11.2028
4.829,10.5487
4.864,9.6994
4.896,8.697
4.93,7.3029
4.963,5.8173
4.997,4.0465
5.03,1.9471
5.063,-0.0082
5.096,-1.6473
5.129,-3.2626
5.163,-4.7639
5.196,-6.103
5.23,-7.2123
5.263,-8.4453
5.297,-9.0638
5.33,-9.4238
5.363,-9.487
5.397,-9.4135
5.43,-9.3365
5.464,-9.0692
5.5,-8.7504
5.53,-8.181
5.564,-7.3827
5.597,-6.0009
5.63,-4.7873
5.664,-3.3155
5.697,-1.7556
5.73,-0.1196
5.763,1.6089
5.797,3.392
5.83,5.3151
5.863,6.9126
5.897,8.3469
5.93,9.5464
5.963,10.6507
5.996,11.2157
6.03,11.7038
6.063,12.1367
6.097,12.153
6.13,11.8485
6.163,11.2889
6.196,10.7046
6.23,9.8586
6.266,8.7763
6.297,7.3462
6.316,5.9416
6.364,4.261
6.397,2.222
6.429,0.2592
6.463,-1.355
6.496,-2.939
6.53,-4.4526
6.563,-5.7901
6.596,-6.927
6.664,-7.8248
6.696,-8.4568
6.73,-8.8343
6.764,-8.8841
6.796,-8.686
6.83,-8.5703
6.864,-8.3396
6.896,-7.898
6.93,-7.1776
6.964,-6.202
6.997,-5.0101
7.03,-3.6628
7.067,-2.1494
7.096,-0.6255
7.13,0.9111
7.163,2.6799
7.197,4.5196
7.23,6.1789
7.263,7.5046
7.297,8.7744
7.33,10.0526
7.363,10.7902
7.397,11.2959
7.429,11.871
7.463,12.2071
7.497,11.7648
7.53,11.0935
7.563,10.5263
7.597,9.9077
7.63,8.8439
7.663,7.3302
7.697,5.9215
7.73,4.3093
7.763,2.3284
7.797,0.5327
7.83,-0.8935
7.863,-2.2827
7.897,-3.7965
7.93,-5.204
7.963,-6.3712
8.03,-7.3375
8.063,-8.0285
8.097,-8.4354
8.129,-8.5634
8.163,-8.6604
8.196,-8.5707
8.234,-8.3582
8.263,-7.9807
8.284,-7.3379
8.331,-6.4208
8.363,-5.2637
8.397,-3.8796
8.431,-2.4959
8.462,-0.8971
8.497,0.5175
8.53,1.9796
8.563,3.8456
8.597,5.5337
8.63,7.003
8.663,8.4116
8.73,9.4166
8.764,10.1646
8.796,10.8374
8.83,11.2523
8.863,11.3087
8.896,11.0718
8.93,10.4719
8.963,9.8134
8.997,8.8738
9.03,7.5388
9.064,6.1657
9.097,4.5638
9.13,2.7824
9.163,0.9952
9.197,-0.57
9.23,-1.9705
9.263,-3.4988
9.297,-4.9507
9.33,-6.1629
9.363,-7.2519
9.396,-8.2754
9.43,-8.8157
9.462,-9.1107
9.497,-9.3571
9.53,-9.2829
9.563,-9.1375
9.597,-8.9253
9.63,-8.5453
9.663,-7.9203
9.697,-6.9639
9.73,-5.6162
9.763,-4.2969
9.797,-2.8965
9.83,-1.4501
9.863,-0.0504
9.897,1.3952
9.93,3.2815
9.963,5.0289
9.997,6.5969
10.03,7.8873
10.097,9.0504
10.13,9.8316
10.163,10.5109
10.197,11.1279
10.23,11.2639
10.263,11.0908
10.297,10.3485
10.33,9.6822
10.364,8.7448
10.397,7.631
10.43,6.1746
10.462,4.6599
10.496,2.9627
10.53,0.9386
10.564,-0.5172
10.597,-1.8955
10.63,-3.2415
10.665,-4.6879
10.69,-5.9336
10.73,-6.9675
10.763,-8.1037
10.796,-8.6894
10.83,-9.0819
10.864,-9.1412
10.897,-9.2369
10.93,-9.1511
10.964,-8.997
10.997,-8.6455
11.03,-8.0598
11.063,-7.2613
11.097,-5.8902
11.13,-4.6446
11.164,-3.2221
11.196,-1.6849
11.23,-0.2869
11.264,1.1387
11.296,3.058
11.33,4.8654
11.364,6.3853
11.397,7.7554
11.463,8.968
11.497,9.8096
11.529,10.425
11.564,10.9964
11.597,11.2887
11.629,11.404
11.663,10.9128
11.696,10.2564
11.729,9.4688
11.764,8.3931
11.797,7.0039
11.83,5.545
11.863,3.8724
11.897,1.8675
11.93,0.1686
11.964,-1.452
11.996,-3.0242
12.03,-4.5168
12.064,-5.8249
12.096,-6.9231
12.13,-8.0668
12.163,-8.6592
12.197,-8.9981
12.23,-9.0658
12.263,-9.041
12.296,-8.9349
12.33,-8.6483
12.363,-8.2768
12.397,-7.6783
12.43,-6.8358
12.463,-5.4914
12.497,-4.2578
12.53,-2.8101
12.563,-1.2845
12.597,0.1143
12.62,1.5337
12.664,3.3453
12.697,5.1643
12.73,6.7776
12.763,8.0461
12.797,9.2342
12.83,10.437
12.863,11.0149
12.897,11.5325
12.93,12.2107
12.964,12.633
12.997,12.2464
13.029,11.6668
13.064,11.084
13.097,10.4413
13.13,9.3857
13.164,7.8884
13.197,6.5324
13.229,4.8705
13.264,2.9631
13.296,1.0011
13.33,-0.5489
13.363,-2.0141
13.397,-3.5324
13.429,-4.9253
13.463,-6.0705
13.53,-7.0097
13.564,-7.6793
13.597,-8.0804
13.631,-8.2601
13.664,-8.1596
13.696,-8.0402
13.731,-7.8527
13.764,-7.4077
13.796,-6.6988
13.83,-5.7302
13.863,-4.5407
13.897,-3.1206
13.93,-1.598
13.964,-0.0076
13.996,1.3911
14.03,3.137
14.064,5.0765
14.096,6.691
14.13,7.9672
14.164,9.11
14.199,10.1556
14.23,10.868
14.263,11.3796
14.297,11.9012
14.33,12.3939
14.363,11.9812
14.396,11.2592
14.43,10.7506
14.463,10.2251
14.496,9.3178
14.53,8.0515
14.563,6.6467
14.597,5.0575
14.63,3.1392
14.664,1.2533
14.697,-0.1794
14.73,-1.5744
14.763,-3.1155
14.798,-4.5652
14.826,-5.7792
14.897,-6.7836
14.93,-7.5312
14.963,-7.9862
14.997,-8.2097
15.03,-8.2451
15.063,-8.1754
15.097,-8.0111
15.13,-7.6346
15.163,-6.9797
15.196,-6.06
15.23,-4.879
15.263,-3.5572
15.297,-2.1659
15.333,-0.547
15.363,0.942
15.397,2.3878
15.43,4.3005
15.463,5.9823
15.496,7.4924
15.529,8.8241
15.564,9.9362
15.597,10.7733
15.629,11.3455
15.664,11.8
15.696,12.267
15.731,12.4992
15.764,11.8278
15.796,11.3073
15.831,10.6168
15.863,9.609
15.897,8.3644
15.931,6.9825
15.964,5.518
15.997,3.7431
16.03,1.8162
16.063,0.0984
16.096,-1.2874
16.13,-2.8153
16.164,-4.2798
16.197,-5.5134
16.23,-6.4236
16.264,-7.2293
16.297,-7.788
16.33,-8.1761
16.364,-8.3205
16.396,-8.4003
16.43,-8.2746
16.462,-7.9502
16.496,-7.5475
16.53,-6.9164
16.564,-6.1537
16.597,-5.0536
16.629,-3.7626
16.663,-2.2611
16.697,-0.685
16.73,0.7235
16.764,2.1546
16.797,3.9468
16.83,5.6996
16.864,7.194
16.896,8.5267
16.964,9.7204
16.997,10.5509
17.03,11.1043
17.063,11.6099
17.102,12.0134
17.128,11.8876
17.15,11.3406
17.197,10.681
17.23,9.8481
17.263,8.7217
17.297,7.2778
17.33,5.7577
17.363,4.0605
17.397,2.173
17.43,0.4474
17.463,-0.9637
17.497,-2.5134
17.53,-3.9894
17.563,-5.2622
17.597,-6.3238
17.63,-7.4599
17.663,-8.0663
17.696,-8.434
17.73,-8.6381
17.764,-8.7545
17.797,-8.6686
17.83,-8.3839
17.863,-8.0408
17.896,-7.4724
17.93,-6.6761
17.963,-5.3487
17.997,-4.0968
18.03,-2.6296
18.063,-1.0914
18.097,0.3015
18.13,2.0016
18.163,3.7687
18.197,5.556
18.23,7.1461
18.263,8.6012
18.297,9.6993
18.329,10.8458
18.364,11.3176
18.397,11.7406
18.43,12.389
18.464,12.4611
18.497,12.1439
18.53,11.6695
18.564,11.0516
18.597,10.1271
18.63,9.1027
18.664,7.5892
18.697,6.2806
18.73,4.6597
18.764,2.6499
18.797,0.8251
18.831,-0.7903
18.863,-2.3667
18.897,-3.8526
18.93,-5.1696
18.963,-6.2755
19.03,-7.1606
19.064,-7.7909
19.096,-8.151
19.133,-8.1884
19.163,-8.1559
19.197,-8.0102
19.231,-7.7836
19.264,-7.2993
19.283,-6.5565
19.33,-5.5686
19.363,-4.3754
19.397,-2.9644
19.43,-1.4289
19.463,0.1714
19.496,1.8348
19.53,3.5919
19.564,5.497
19.597,7.0857
19.629,8.4672
19.664,9.8085
19.696,11.0131
19.729,11.5235
19.764,12.0232
19.796,12.485
19.83,12.6583
19.863,12.1714
19.897,11.6224
19.93,11.0925
19.963,10.3359
19.997,9.1714
20.03,7.7029
20.063,6.4404
20.097,4.8095
20.13,2.8582
20.164,0.971
20.197,-0.4186
20.23,-1.9816
20.263,-3.5048
20.296,-4.8573
20.33,-6.0074
20.397,-6.9617
20.43,-7.6306
20.463,-8.0348
20.497,-8.1656
20.53,-8.1349
20.564,-8.0454
20.597,-7.8064
20.63,-7.4006
20.664,-6.7163
20.697,-5.7871
20.73,-4.6128
20.763,-3.2424
20.797,-1.7341
20.83,-0.1283
20.863,1.2534
20.897,3.006
20.93,4.854
20.964,6.5227
20.997,7.9838
21.03,9.5183
21.064,10.9252
21.097,11.5737
21.129,12.0647
21.164,12.4293
21.197,12.8933
21.23,12.4375
21.263,11.698
21.297,11.0691
21.33,10.3288
21.363,9.015
21.398,7.4027
21.428,6.0663
21.447,4.4856
21.497,2.6434
21.53,0.6264
21.564,-0.8779
21.596,-2.2257
21.631,-3.6814
21.663,-5.0966
21.696,-6.2766
21.764,-7.6269
21.796,-8.3495
21.83,-8.8082
21.863,-8.9763
21.897,-8.845
21.93,-8.6875
21.963,-8.4326
21.997,-8.1049
22.03,-7.4988
22.063,-6.6282
22.097,-5.1603
22.13,-3.8494
22.167,-2.4037
22.196,-0.839
22.23,0.5449
22.264,1.963
22.296,3.7201
22.33,5.3893
22.363,6.8529
22.397,8.3265
22.464,9.5915
22.496,10.3146
22.53,10.8945
22.563,11.3411
22.597,11.4329
22.63,11.2347
22.663,10.5212
22.697,9.7679
22.73,8.8922
22.764,7.551
22.797,5.9916
22.83,4.5203
22.863,2.7915
22.896,0.7739
22.93,-0.6421
22.963,-1.9875
22.997,-3.3456
23.03,-4.639
23.064,-5.8578
23.097,-6.8465
23.129,-8.001
23.164,-8.5636
23.197,-8.8803
23.23,-8.8939
23.264,-8.9837
23.297,-8.888
23.319,-8.6033
23.364,-8.2497
23.397,-7.6775
23.415,-6.8659
23.464,-5.4758
23.496,-4.2373
23.529,-2.8412
23.565,-1.2836
23.597,0.1021
23.63,1.5181
23.664,3.2751
23.7,5.04
23.73,6.59
23.764,8.0245
23.83,9.3443
23.864,10.2405
23.897,10.926
23.93,11.425
23.964,11.8414
23.997,11.7254
24.03,11.1492
24.066,10.3314
24.097,9.4575
24.13,8.2589
24.163,6.733
24.179,5.205
24.23,3.4844
24.263,1.4856
24.297,-0.3269
24.331,-1.7028
24.363,-3.1483
24.396,-4.4292
24.43,-5.6774
24.463,-6.7441
24.497,-7.7761
24.53,-8.3976
24.564,-8.7685
24.597,-8.8462
24.63,-8.8558
24.663,-8.7899
24.697,-8.545
24.73,-8.2234
24.764,-7.6805
24.797,-6.9089
24.83,-5.7002
24.863,-4.4911
24.896,-3.063
24.93,-1.5937
24.963,0.0042
24.997,1.6464
25.03,3.3934
25.063,5.2482
25.096,6.7687
25.131,8.1229
25.163,9.2992
25.196,10.5272
25.23,11.1688
25.263,11.6591
25.297,12.0625
25.33,12.1796
25.363,11.8622
25.397,11.1034
25.431,10.5836
25.464,9.8043
25.497,8.7311
25.53,7.1792
25.564,5.7156
25.598,4.0967
25.619,2.1318
25.664,0.2687
25.696,-1.3103
25.715,-2.6484
25.764,-4.1372
25.796,-5.4493
25.83,-6.5554
25.897,-7.4407
25.93,-8.0568
25.963,-8.4073
25.98,-8.4596
26.03,-8.3757
26.064,-8.2462
26.096,-8.0537
26.113,-7.6228
26.164,-6.9292
26.197,-5.985
26.231,-4.8061
26.263,-3.3975
26.297,-1.9013
26.33,-0.3374
26.363,1.2501
26.379,2.968
26.43,4.8424
26.464,6.4715
26.497,7.7838
26.53,8.9322
26.564,10.0714
26.597,10.7265
26.629,11.1917
26.646,11.6749
26.697,11.9091
26.73,11.4663
26.763,10.8604
26.779,10.3046
26.83,9.7141
26.863,8.7717
26.896,7.3832
26.913,5.9933
26.963,4.4413
26.997,2.5055
27.03,0.7834
27.063,-0.5913
27.079,-2.0325
27.13,-3.5167
27.163,-4.9271
27.179,-6.0774
27.23,-7.0892
27.263,-7.7979
27.297,-8.277
27.329,-8.4778
27.346,-8.6928
27.397,-8.7128
27.43,-8.5375
27.446,-8.3348
27.497,-7.8934
27.531,-7.2132
27.563,-6.2306
27.596,-5.1105
27.612,-3.7801
27.665,-2.3035
27.7,-0.9608
27.714,0.3985
27.764,1.8179
27.796,3.727
27.813,5.4253
27.864,6.8172
27.879,8.2261
27.964,9.3162
27.998,10.0648
28.03,10.6582
28.063,11.2974
28.1,11.3752
28.113,11.1671
28.164,10.5675
28.179,9.851
28.231,8.9734
28.263,7.638
28.279,6.1799
28.331,4.6109
28.364,2.7858
28.379,1.0289
28.431,-0.3683
28.463,-1.7451
28.496,-3.2472
28.512,-4.6705
28.563,-5.865
28.579,-6.9749
28.631,-8.0216
28.663,-8.5316
28.696,-8.7964
28.713,-9.0413
28.764,-9.1111
28.779,-8.9656
28.831,-8.6312
28.863,-8.2372
28.879,-7.5999
28.93,-6.608
28.946,-5.252
28.997,-4.0059
29.03,-2.5388
29.046,-0.9781
29.097,0.4153
29.131,1.8187
29.163,3.5608
29.179,5.3166
29.23,6.8202
29.248,8.1739
29.331,9.4045
29.365,10.2186
29.397,10.869
29.43,11.3401
29.446,11.4649
29.498,11.3078
29.53,10.7824
29.563,10.1021
29.579,9.2146
29.634,8.0378
29.648,6.5428
29.697,5.0511
29.713,3.2955
29.764,1.3936
29.796,-0.0449
29.812,-1.4108
29.863,-2.942
29.879,-4.3916
29.93,-5.6251
29.946,-6.6016
29.997,-7.7185
30.016,-8.292
30.064,-8.6639
30.084,-8.8036
30.13,-8.8934
30.146,-8.8036
30.197,-8.519
30.213,-8.1247
30.263,-7.5511
30.279,-6.7955
30.331,-5.4434
30.364,-4.211
30.396,-2.7765
30.415,-1.2841
30.464,0.0845
30.497,1.4928
30.513,3.2497
30.564,4.9829
30.596,6.4797
30.613,7.8668
30.664,8.9599
30.697,9.9956
30.731,10.4466
30.763,10.9993
30.779,11.6121
30.831,11.664
30.864,11.1858
30.879,10.5611
30.93,10.0127
30.964,9.141
30.979,8.0918
31.032,6.6598
31.063,5.3569
31.079,3.6196
31.134,1.712
31.148,0.2917
31.197,-1.1563
31.212,-2.5695
31.263,-4.0366
31.279,-5.329
31.33,-6.4087
31.346,-7.4499
31.397,-8.0674
31.43,-8.4449
31.446,-8.6142
31.497,-8.7597
31.513,-8.6999
31.563,-8.4639
31.579,-8.0898
31.63,-7.5751
31.646,-6.804
31.68,-5.6304
31.713,-4.4411
31.763,-3.0377
31.779,-1.5442
31.831,-0.1742
31.864,1.1978
31.882,2.8433
31.93,4.6457
31.946,6.2331
31.997,7.4692
32.012,8.6178
32.064,9.7915
32.097,10.3478
32.113,10.8339
32.163,11.4762
32.179,11.8769
32.214,11.4816
32.246,10.7435
32.297,10.1663
32.334,9.5177
32.347,8.5166
32.397,7.0484
32.43,5.7289
32.446,4.1257
32.497,2.2805
32.53,0.5676
32.546,-0.8032
32.58,-2.1421
32.613,-3.6072
32.646,-4.9276
32.68,-6.0532
32.764,-6.958
32.797,-7.6082
32.83,-7.9945
32.846,-8.1716
32.896,-8.2513
32.913,-8.1378
32.964,-7.9918
32.979,-7.5662
33.03,-6.8767
33.064,-5.9424
33.097,-4.7874
33.112,-3.4248
33.164,-1.9748
33.197,-0.4537
33.23,0.94
33.264,2.6242
33.279,4.5449
33.331,6.1822
33.363,7.5364
33.382,8.6603
33.43,9.8022
33.446,10.5215
33.497,11.0127
33.512,11.5437
33.564,11.9766
33.596,11.5777
33.612,10.8736
33.663,10.2981
33.679,9.6437
33.731,8.7538
33.764,7.3912
33.779,6.0028
33.83,4.4772
33.846,2.5976
33.898,0.8626
33.929,-0.5061
33.946,-1.849
33.998,-3.3165
34.03,-4.681
34.046,-5.8394
34.097,-7.043
34.113,-7.7712
34.164,-8.2566
34.179,-8.5186
34.235,-8.7258
34.266,-8.7557
34.279,-8.5903
34.331,-8.2564
34.346,-7.8544
34.397,-7.1941
34.43,-6.0345
34.446,-4.9242
34.497,-3.6186
34.531,-2.1637
34.546,-0.6417
34.597,0.7293
34.615,2.1158
34.664,3.8738
34.696,5.5415
34.713,6.9811
34.764,8.347
34.831,9.3373
34.864,10.1234
34.879,10.7374
34.93,11.1918
34.949,11.2584
34.997,11.0519
35.012,10.2957
35.064,9.6412
35.08,8.7448
35.131,7.4817
35.146,6.1535
35.197,4.6057
35.212,2.838
35.263,1.007
35.282,-0.3945
35.331,-1.72
35.364,-3.0456
35.379,-4.4557
35.43,-5.6493
35.446,-6.4998
35.497,-7.5333
35.513,-8.0723
35.565,-8.3835
35.597,-8.5487
35.615,-8.611
35.664,-8.4854
35.679,-8.2625
35.731,-7.8354
35.746,-7.2279
35.797,-6.5392
35.831,-5.2119
35.846,-3.9552
35.897,-2.5368
35.93,-1.0038
35.949,0.3653
35.997,1.7442
36.013,3.5779
36.064,5.2733
36.08,6.7121
36.131,8.0096
36.197,9.0558
36.213,9.8497
36.264,10.4353
36.282,10.9241
36.331,11.0397
36.346,10.9141
36.397,10.173
36.43,9.505
36.446,8.7117
36.497,7.6203
36.513,6.3248
36.564,4.8413
36.579,3.161
36.633,1.272
36.649,-0.1169
36.679,-1.4759
36.73,-2.7715
36.746,-4.206
36.797,-5.4492
36.813,-6.4665
36.864,-7.6201
36.879,-8.1971
36.931,-8.5408
36.946,-8.6835
36.997,-8.7992
37.013,-8.7233
37.063,-8.4585
37.079,-8.1287
37.13,-7.5763
37.146,-6.7949
37.197,-5.4507
37.213,-4.2282
37.263,-2.8713
37.279,-1.3874
37.331,-0.0259
37.346,1.3619
37.397,2.8664
37.413,4.7079
37.464,6.2504
37.479,7.5228
37.53,8.3597
37.546,9.53
37.598,10.1741
37.613,10.6921
37.664,11.3082
37.679,11.3665
37.73,11.0697
37.749,10.293
37.797,9.6873
37.813,8.9306
37.864,8.1676
37.879,6.6156
37.93,5.2155
37.946,3.539
37.997,1.6813
38.013,0.2849
38.063,-1.0784
38.082,-2.3934
38.131,-3.8277
38.164,-5.1151
38.179,-6.1816
38.248,-7.0224
38.297,-7.6233
38.313,-7.9586
38.364,-8.0883
38.379,-8.1481
38.43,-8.0124
38.446,-7.7835
38.497,-7.33
38.513,-6.6168
38.547,-5.6664
38.597,-4.5026
38.612,-3.124
38.664,-1.8008
38.679,-0.4952
38.73,0.8815
38.746,2.3394
38.8,4.1872
38.814,5.8068
38.864,7.1698
38.884,8.3869
38.93,9.4872
38.946,10.0939
38.997,10.7454
39.013,11.4422
39.063,11.827
39.079,11.6175
39.131,10.8837
39.163,10.2523
39.179,9.5582
39.231,8.5013
39.246,7.137
39.297,5.7957
39.315,4.1858
39.363,2.3065
39.379,0.6147
39.43,-0.7397
39.446,-2.0628
39.497,-3.4845
39.513,-4.8468
39.564,-5.9525
39.634,-6.8523
