t,s1
0.031,-15.2688
0.064,-16.0342
0.096,-16.5596
0.13,-16.8015
0.162,-16.7669
0.196,-16.4731
0.23,-15.9039
0.267,-15.0872
0.281,-14.0755
0.33,-12.9146
0.363,-11.4502
0.396,-9.8505
0.429,-8.045
0.463,-6.1687
0.496,-4.2125
0.529,-2.1467
0.563,-0.0779
0.596,1.9227
0.631,3.8906
0.663,5.7356
0.696,7.4812
0.73,9.119
0.763,10.8068
0.796,11.8478
0.83,12.867
0.863,13.5977
0.885,14.0764
0.93,14.3499
0.963,14.367
0.982,14.118
1.03,13.6363
1.063,12.8472
1.097,11.5296
1.13,10.4566
1.163,9.0289
1.197,7.3249
1.229,5.535
1.263,3.6289
1.282,1.6102
1.329,-0.4584
1.363,-2.5667
1.397,-4.6084
1.43,-6.6024
1.463,-8.4989
1.497,-10.3073
1.53,-11.8582
1.564,-13.2912
1.597,-14.4677
1.629,-15.4867
1.662,-16.2525
1.696,-16.7609
1.729,-16.9855
1.746,-16.9337
1.797,-16.6225
1.83,-16.0358
1.863,-15.2191
1.897,-14.2045
1.929,-12.9743
1.964,-11.4677
1.996,-9.8103
2.03,-7.9823
2.066,-6.1061
2.08,-4.1499
2.13,-2.0844
2.162,-0.0156
2.179,2.0191
2.23,4.0212
2.263,5.8833
2.297,7.6297
2.33,9.2444
2.363,10.7844
2.43,12.2468
2.463,13.242
2.496,13.9232
2.53,14.3379
2.563,14.4745
2.596,14.3379
2.612,13.9581
2.664,13.2717
2.684,12.2793
2.73,10.8848
2.764,9.2379
2.796,7.5394
2.83,5.7553
2.863,3.81
2.896,1.7741
2.93,-0.2945
2.963,-2.4028
2.996,-4.4612
3.03,-6.4548
3.063,-8.3507
3.096,-10.1872
3.112,-11.7608
3.163,-13.2331
3.23,-14.4251
3.263,-15.3424
3.297,-16.0207
3.33,-16.4249
3.363,-16.5374
3.396,-16.365
3.43,-15.883
3.463,-15.1209
3.497,-14.135
3.53,-12.8454
3.564,-11.3817
3.596,-9.7592
3.63,-7.9486
3.646,-6.0812
3.697,-4.1163
3.73,-2.0792
3.763,-0.0104
3.797,2.0243
3.83,4.0093
3.863,5.8972
3.879,7.6546
3.933,9.2694
3.947,10.6537
3.997,11.7488
4.031,12.9038
4.063,13.6802
4.097,14.1763
4.129,14.4775
4.146,14.5469
4.197,14.289
4.23,13.8129
4.263,13.0575
4.297,12.0547
4.33,10.9614
4.363,9.4259
4.379,7.7493
4.43,5.9758
4.463,4.0448
4.479,1.9735
4.53,-0.0952
4.563,-2.2034
4.579,-4.2787
4.63,-6.2547
4.646,-8.141
4.697,-9.9498
4.733,-11.5105
4.749,-13.2693
4.78,-14.3682
4.83,-15.6352
4.863,-16.3259
4.881,-16.7771
4.929,-16.9365
4.946,-16.8629
4.996,-16.5051
5.012,-15.8902
5.064,-15.0361
5.097,-13.6574
5.112,-12.4867
5.168,-10.6775
5.196,-9.0579
