t,s1
0.033,-9.108
0.065,-7.6361
0.098,-5.9206
0.13,-3.9034
0.164,-1.6548
0.196,0.5502
0.23,2.6005
0.264,4.4927
0.296,6.0424
0.33,7.3992
0.364,8.5646
0.397,9.4118
0.464,10.0664
0.496,10.5106
0.53,10.7187
0.563,10.6912
0.597,10.5257
0.63,10.406
0.663,10.3617
0.697,10.066
0.73,9.5701
0.764,8.9758
0.789,7.9933
0.829,6.8176
0.863,5.4587
0.897,3.9139
0.931,2.2268
0.963,0.2784
0.997,-1.8636
1.03,-4.0218
1.063,-6.1836
1.097,-8.2287
1.13,-9.7489
1.164,-11.0192
1.197,-12.1162
1.233,-12.9986
1.263,-14.3028
1.297,-14.8954
1.33,-15.0826
1.364,-15.0184
1.397,-14.7232
1.431,-14.2779
1.463,-14.2339
1.497,-14.2182
1.531,-13.956
1.567,-13.4642
1.597,-12.1124
1.63,-11.0607
1.663,-9.9523
1.697,-8.6496
1.73,-7.1809
1.763,-5.5643
1.797,-3.5166
1.83,-1.3113
1.864,0.897
1.896,3.0788
1.934,4.9867
1.963,6.5536
1.997,7.9386
2.03,9.1139
2.063,10.0898
2.131,10.9341
2.164,11.3924
2.197,11.6504
2.23,11.6655
2.264,11.4262
2.297,11.399
2.333,11.3288
2.363,11.1417
2.397,10.7357
2.43,10.1304
2.463,9.1384
2.498,8.0324
2.53,6.7461
2.563,5.2669
2.597,3.6503
2.63,1.6818
2.663,-0.3359
2.697,-2.4912
2.734,-4.6378
2.763,-6.782
2.797,-8.4148
2.83,-9.7449
2.863,-10.9129
2.896,-11.8769
2.93,-12.5398
2.963,-13.5845
2.997,-13.9138
3.031,-14.0204
3.063,-13.884
3.097,-13.6963
3.13,-13.753
3.164,-13.7289
3.197,-13.5951
3.23,-13.2282
3.264,-12.7279
3.297,-11.408
3.33,-10.3569
3.364,-9.1076
3.397,-7.693
3.431,-5.9351
3.463,-3.8865
3.496,-1.8229
3.531,0.3805
3.563,2.5592
3.596,4.5446
3.634,6.1335
3.663,7.543
3.697,8.7719
3.73,9.7994
3.764,10.3967
3.797,11.188
3.83,11.5451
3.864,11.6707
3.897,11.577
3.93,11.3882
3.967,11.3819
3.996,11.1998
4.03,11.021
4.063,10.6113
4.097,10.25
4.13,9.1494
4.163,8.0842
4.197,6.839
4.23,5.4247
4.264,3.8532
4.296,2.0455
4.33,0.1558
4.363,-1.9992
4.397,-4.1301
4.43,-6.1309
4.464,-7.8523
4.497,-9.2143
4.53,-10.4144
4.564,-11.4432
4.597,-12.3098
4.63,-13.6275
4.663,-14.025
4.697,-14.1784
4.73,-14.0975
4.765,-13.9204
4.797,-13.8957
4.83,-13.9446
4.863,-13.8747
4.897,-13.5543
4.93,-12.9503
4.963,-11.4575
4.997,-10.4474
5.03,-9.239
5.063,-7.8692
5.097,-6.3412
5.13,-4.3578
5.163,-2.2764
5.197,-0.0802
5.23,2.0906
5.264,4.0734
5.296,5.6776
5.33,7.1194
5.363,8.3865
5.397,9.4678
5.43,10.4653
5.463,11.8559
5.496,12.2592
5.531,12.4471
5.564,12.4163
5.597,12.2937
5.631,12.2331
5.663,12.1538
5.699,12.033
5.73,11.6818
5.764,11.0173
5.797,9.4009
5.83,8.3889
5.864,7.1975
5.897,5.8165
5.931,4.2688
5.964,2.6003
5.997,0.6786
6.034,-1.4636
6.063,-3.5984
6.097,-5.7337
6.131,-7.5629
6.164,-8.9604
6.197,-10.2053
6.23,-11.276
6.264,-12.1368
6.33,-12.7729
6.364,-13.1952
6.399,-13.3721
6.43,-13.2843
6.464,-12.9539
6.497,-12.8054
6.53,-12.8474
6.564,-12.6605
6.597,-12.1984
6.63,-11.5248
6.664,-10.6018
6.697,-9.4463
6.73,-8.0992
6.763,-6.6071
6.797,-4.9497
6.83,-2.9332
6.863,-0.763
6.897,1.4288
6.93,3.5345
6.964,5.3555
6.997,6.8671
7.03,8.1784
7.065,9.2916
7.096,10.3978
7.164,11.2694
7.196,11.6878
7.23,11.8824
7.264,11.8327
7.297,11.5689
7.331,11.5681
7.363,11.5593
7.397,11.3099
7.43,10.8516
7.463,10.0169
7.497,8.8591
7.53,7.721
7.564,6.3984
7.597,4.8918
7.619,3.2474
7.663,1.2518
7.698,-0.8738
7.73,-3.0048
7.763,-5.1243
7.797,-7.1177
7.834,-8.548
7.863,-9.8373
7.896,-10.9452
7.93,-11.8314
7.963,-12.6375
7.997,-13.1651
8.03,-13.4389
8.063,-13.4812
8.097,-13.3017
8.13,-13.0013
8.163,-13.1475
8.197,-13.214
8.23,-13.0274
8.264,-12.6008
8.3,-11.8573
8.33,-10.9421
8.364,-9.8465
8.397,-8.5491
8.431,-7.1025
8.464,-5.5092
8.496,-3.4742
8.53,-1.2892
8.564,0.8942
8.597,2.9339
8.63,4.9137
8.663,6.4365
8.697,7.7839
8.73,8.9381
8.764,10.1191
8.797,11.0419
8.83,11.5907
8.863,11.8997
8.897,11.9689
8.93,11.9041
8.964,11.6486
8.997,11.7376
9.03,11.6739
9.063,11.4453
9.097,10.7925
9.13,9.9423
9.164,8.9961
9.2,7.895
9.227,6.6142
9.264,5.1611
9.297,3.5493
9.33,1.5904
9.364,-0.4647
9.397,-2.595
9.43,-4.7113
9.464,-6.6684
9.497,-8.1247
9.533,-9.4186
9.563,-10.5506
9.597,-11.4815
9.63,-12.6676
9.664,-13.7738
9.696,-14.0891
9.731,-14.1842
9.763,-14.0428
9.797,-13.7604
9.831,-14.0077
9.863,-14.1448
9.897,-14.035
9.931,-13.6887
9.964,-12.65
9.997,-11.2715
10.031,-10.2458
