t,s1
0.001,11.4253
0.032,12.6142
0.065,13.5378
0.098,14.0845
0.131,14.2484
0.164,13.9916
0.198,13.3986
0.231,12.3982
0.264,11.2184
0.298,9.8257
0.331,7.9309
0.364,5.8852
0.401,3.5877
0.43,1.1934
0.464,-1.2782
0.498,-3.6911
0.531,-6.0385
0.564,-8.1389
0.597,-9.9865
0.665,-11.6248
0.698,-12.88
0.731,-13.7676
0.764,-14.2557
0.797,-14.2973
0.831,-13.9042
0.864,-13.1151
0.898,-11.8998
0.931,-10.379
0.964,-8.5927
0.998,-6.4945
1.031,-4.2258
1.063,-1.8549
1.097,0.5892
1.131,2.9863
1.164,5.3252
1.197,7.4503
1.231,9.3958
1.298,11.0302
1.331,12.32
1.368,13.2632
1.398,13.7812
1.431,13.9204
1.464,13.599
1.499,12.878
1.531,11.7343
1.564,10.3147
1.598,8.5081
1.631,6.4751
1.664,4.2667
1.697,1.9129
1.731,-0.5156
1.764,-2.9321
1.798,-5.2489
1.831,-7.4418
1.864,-9.3414
1.931,-10.9602
1.964,-12.297
1.998,-13.3022
2.031,-13.9272
2.064,-14.1256
2.097,-13.8721
2.131,-13.2336
2.164,-12.1862
2.197,-10.79
2.231,-9.1198
2.264,-7.225
2.297,-5.0138
2.331,-2.6596
2.364,-0.2276
2.397,2.165
2.43,4.4919
2.468,6.7212
2.497,8.7375
2.565,10.4632
2.598,11.901
2.631,12.9829
2.664,13.6249
2.697,13.9009
2.731,13.7771
2.764,13.2555
2.798,12.2931
2.831,10.9689
2.864,9.3049
2.898,7.4251
2.931,5.2662
2.964,2.9584
2.998,0.5605
3.031,-1.8751
3.063,-4.2613
3.102,-6.5415
3.131,-8.6087
3.198,-10.313
3.231,-11.8126
3.264,-12.956
3.299,-13.7238
3.319,-14.0914
3.363,-14.0127
3.397,-13.5139
3.43,-12.6159
3.464,-11.306
3.498,-9.6541
3.531,-7.827
3.564,-5.6371
3.597,-3.3266
3.631,-0.8719
3.664,1.6144
3.697,4.0257
3.731,6.3299
3.763,8.4614
3.798,10.3474
3.831,12.0071
3.864,13.2674
3.898,14.1707
3.931,14.752
3.964,14.9163
3.997,14.7417
4.03,14.1759
4.064,13.2398
4.098,11.9691
