t,s1
0.001,20.1163
0.033,21.2001
0.065,21.7217
0.1,21.6016
0.132,20.8469
0.165,19.5151
0.198,17.7181
0.231,15.4925
0.265,12.9654
0.298,9.8222
0.331,6.3249
0.365,2.5814
0.398,-1.2332
0.431,-4.9924
0.465,-8.6185
0.498,-11.9935
0.532,-14.4511
0.565,-16.8344
0.597,-18.891
0.632,-20.3094
0.664,-21.0761
0.698,-21.2439
0.731,-20.7972
0.764,-19.7348
0.798,-18.0232
0.832,-15.7465
0.864,-13.5334
0.898,-10.5409
0.932,-6.9824
0.965,-3.3018
0.998,0.4758
1.032,4.2555
1.065,7.9045
1.098,11.236
1.131,14.1404
1.164,16.4213
1.198,18.5143
1.232,20.0826
1.264,21.1628
1.298,21.6663
1.332,21.5516
1.365,20.7723
1.398,19.433
1.432,17.634
1.465,15.3905
1.501,12.9004
1.531,9.7473
1.564,6.2871
1.598,2.5485
1.631,-1.2362
1.664,-5.0118
1.698,-8.6125
1.731,-11.9313
1.799,-14.8172
1.831,-17.2912
1.865,-19.1201
1.897,-20.2781
1.931,-20.7665
1.965,-20.6252
1.998,-19.8427
2.032,-18.332
2.065,-16.1935
2.098,-13.5377
2.119,-10.4437
2.164,-6.9034
2.198,-3.2302
2.232,0.5345
2.264,4.3034
2.298,7.9846
2.332,11.3927
2.364,14.3282
2.397,16.6171
2.431,18.7322
2.466,20.3131
2.498,21.3676
2.531,21.8635
2.565,21.7234
2.598,20.9368
2.631,19.536
2.664,17.6642
2.698,15.3806
2.731,12.8763
2.764,9.6788
2.798,6.185
2.831,2.4695
2.864,-1.2913
2.9,-5.0421
2.931,-8.6533
2.965,-11.9944
2.998,-14.5518
3.032,-17.0329
3.065,-19.0646
3.098,-20.438
3.132,-21.2029
3.164,-21.3695
3.198,-20.9538
3.235,-19.9018
3.264,-18.1855
3.298,-15.8903
3.331,-13.5773
3.365,-10.4498
3.398,-6.9139
3.431,-3.266
3.465,0.4987
3.498,4.2674
3.532,7.9225
3.565,11.2478
3.598,14.1669
3.635,16.4608
3.664,18.574
3.697,20.1359
3.731,21.1943
3.764,21.6732
3.797,21.4995
3.832,20.7028
3.864,19.3179
3.897,17.5044
3.931,15.2271
3.965,12.6891
3.998,9.4807
4.031,5.9896
4.067,2.2565
4.098,-1.4859
4.131,-5.2136
4.165,-8.7786
4.198,-12.0923
4.265,-14.9651
4.298,-17.3775
4.332,-19.1778
4.365,-20.2831
4.398,-20.7395
4.431,-20.5577
4.454,-19.7436
4.498,-18.2115
4.531,-16.0703
4.564,-13.3556
4.598,-10.2724
4.631,-6.8041
4.665,-3.1912
4.698,0.5105
4.731,4.2119
4.765,7.8063
4.798,11.071
4.832,13.9266
4.865,16.4777
4.898,18.473
4.931,20.0966
4.965,21.1373
4.999,21.6289
5.031,21.4648
5.065,20.6759
5.098,19.3025
