t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,0.080372,-0.06795,-0.253139,0.229918,0.166771,-0.031245,-0.35466,-0.128309,0.165015,0.232642,0.001305,0.091154
1,0.082573,-0.068101,-0.254898,0.230333,0.166867,-0.032463,-0.356709,-0.128556,0.165764,0.235333,0.001057,0.091848
2,0.083655,-0.068286,-0.255635,0.230464,0.166829,-0.033061,-0.357221,-0.128554,0.166102,0.23636,0.000956,0.092
3,0.083687,-0.068575,-0.255436,0.230643,0.166896,-0.032431,-0.356528,-0.128282,0.166143,0.235128,0.000663,0.091181
4,0.084332,-0.068876,-0.255219,0.229552,0.16632,-0.033063,-0.356474,-0.12764,0.166172,0.235507,0.000665,0.091556
5,0.085602,-0.068993,-0.255941,0.228972,0.165917,-0.033856,-0.357586,-0.127539,0.166603,0.236908,0.000332,0.092189
6,0.087077,-0.068929,-0.256784,0.228433,0.165323,-0.034517,-0.359089,-0.127464,0.166934,0.238402,-0.000371,0.09253
7,0.087293,-0.068898,-0.256449,0.228282,0.165258,-0.034373,-0.358773,-0.12724,0.166821,0.23802,-0.000391,0.092169
8,0.087896,-0.069131,-0.256985,0.228867,0.165409,-0.034697,-0.359427,-0.127425,0.167075,0.238505,-0.000583,0.091888
9,0.088282,-0.069154,-0.257262,0.22883,0.165134,-0.034912,-0.359819,-0.127276,0.167481,0.238927,-0.000895,0.091953
10,0.08832,-0.068862,-0.256585,0.228799,0.165118,-0.034326,-0.359378,-0.127064,0.167771,0.238825,-0.000705,0.091984
11,0.08873,-0.069023,-0.257578,0.229093,0.165258,-0.034539,-0.360431,-0.127301,0.168447,0.239969,-0.000811,0.092399
12,0.089012,-0.069016,-0.257674,0.229217,0.165267,-0.03461,-0.360777,-0.127671,0.168301,0.240032,-0.000676,0.092383
13,0.090372,-0.069215,-0.257437,0.229092,0.165071,-0.03449,-0.36089,-0.127577,0.167761,0.240436,-0.000652,0.091886
14,0.090639,-0.069337,-0.256883,0.229531,0.165055,-0.033864,-0.360404,-0.127625,0.167481,0.240212,-0.000211,0.091484
15,0.090825,-0.069132,-0.256519,0.229893,0.164773,-0.033976,-0.360312,-0.127665,0.167869,0.24019,-0.000174,0.091637
16,0.088662,-0.069081,-0.254598,0.229992,0.164666,-0.033066,-0.357296,-0.127423,0.166255,0.237085,-0.000201,0.090188
17,0.088975,-0.069318,-0.255196,0.229265,0.164739,-0.033345,-0.357438,-0.127577,0.166136,0.237588,-0.000379,0.090541
18,0.090634,-0.06936,-0.25624,0.228824,0.164828,-0.034412,-0.358926,-0.127743,0.166816,0.23968,-0.000528,0.091084
