t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,0.832365786745805,-0.7607341526687079,-0.8543478904103696,-0.8879377462985651,-0.8650327839475488,-0.8767096094850224,-0.8652752645411471,0.7678534866303988,0.8740730826089579,0.8558307618944678,-0.8774115653245443,0.8953319718407107
1,0.8475100971044587,-0.7871828009007901,-0.8720435462692401,-0.8856203955565306,-0.869395279912339,-0.8914583040191916,-0.8769566929508412,0.7637092720666955,0.8841052459877264,0.8692463747193343,-0.8796686688793705,0.9033624213997632
2,0.8619327128518288,-0.9072564186415345,-0.8793281537164431,-0.8796374172770963,-0.8581823020028384,-0.8995452646486763,-0.878541610373262,0.7941315744320533,0.8911800452434376,0.8689328882602753,-0.8935456759201524,0.8939738811064591
3,0.8793999777405515,-0.9327314970000421,-0.8901769038631352,-0.8981130227385898,-0.8791768138333932,-0.9153828964557268,-0.8873662740462468,0.812403793190193,0.898238505470845,0.8812794318786065,-0.9019610496677752,0.9071217740119666
4,0.8870228770722343,-0.9134223611741666,-0.8909897785138959,-0.9122699290899284,-0.8967631256914547,-0.9191941769108106,-0.8893131787811958,0.8313353188107377,0.8990717959143584,0.8861585672798611,-0.9091782079480213,0.9184195143229865
5,0.8927626045275989,-0.8860001430685099,-0.9011194472387613,-0.9085832347276005,-0.8886516097569227,-0.9235499260023351,-0.8990770527785781,0.8086363254050084,0.9017677355845486,0.891946009600954,-0.9149463614770211,0.9187737988623563
6,0.8984572260697584,-0.9121242680094006,-0.9014008269255633,-0.9109848527693455,-0.8924687937261144,-0.9236940500531576,-0.9017087983750665,0.8264376106899995,0.9015226501599856,0.8942529484150562,-0.9172591959838181,0.9155458730592078
7,0.8882069072938713,-0.8949245335762679,-0.879844016475579,-0.9089413707513698,-0.8995237676691746,-0.9032284348363625,-0.8813005407011796,0.8603448207566504,0.885412368252061,0.8766494780217322,-0.9025740901394563,0.8935802316182705
8,0.8986038202876754,-0.9244561530746672,-0.8908959852849618,-0.9086043015525281,-0.9032727876389165,-0.915366882672302,-0.8910741981394407,0.8605331941459098,0.8932551018380692,0.8842374579538317,-0.9185967388311224,0.8941510233761443
9,0.9066439493165063,-0.9074186802871302,-0.8994468013227731,-0.8924460468330692,-0.8978878316823774,-0.9153188413220278,-0.8973160334203326,0.857990153390911,0.9033036042451416,0.8888915261537105,-0.9258974935393252,0.8906081779824447
10,0.906260549054262,-0.8975207199057977,-0.8938504719963809,-0.9002197052313483,-0.9069877256089334,-0.9120360157199597,-0.8949484407275804,0.8684448764947951,0.9127148845483514,0.889840023645223,-0.9277366149543684,0.89712307701197
11,0.9033737706091276,-0.8915170390187613,-0.8958670264184605,-0.8999247696823623,-0.9105322535803254,-0.9106748441288584,-0.8972181990115411,0.85610641949832,0.9114404403406248,0.8899605953602456,-0.924197699504209,0.9020043306655117
12,0.9202772115827851,-0.8989810747161574,-0.9181585504950943,-0.8944473952011895,-0.9011937856556957,-0.9273131651071448,-0.9211289285201606,0.8091072588781568,0.9219627745685188,0.9078534378696242,-0.9324180149199335,0.91123541116354
13,0.934102173980186,-0.9653460877647586,-0.9134376246387522,-0.8965119440440934,-0.9121341075673967,-0.9234538433017867,-0.9216572343276341,0.8208805957068537,0.9218157233137815,0.9093565652502413,-0.9313312613564987,0.9033821038741726
14,0.9389961655629528,-0.9509048013067494,-0.8968518553222674,-0.8968911468927898,-0.9330263733987766,-0.9160234477927156,-0.9124803667830004,0.8479121770655458,0.9152637729638038,0.9066637969480664,-0.9174821197917021,0.8967097450493716
15,0.9392216951289788,-0.9335428052280209,-0.8936785177433356,-0.8934572544295931,-0.9336398493938249,-0.9190820804268375,-0.912666252159704,0.8435795891125857,0.9148716362845035,0.9068084830060937,-0.9207145150060209,0.8902342109686652
