t,s1,s2,s3,s4
0,0.534856,0.04737,0.393593,-0.021392
1,0.535938,0.047466,0.394211,-0.021371
2,0.535918,0.047486,0.394176,-0.021519
3,0.536282,0.047546,0.394287,-0.021792
4,0.536308,0.047586,0.39434,-0.021717
5,0.535832,0.04764,0.394237,-0.02156
6,0.535917,0.047552,0.394587,-0.021402
7,0.535542,0.047378,0.394729,-0.021222
8,0.535942,0.047595,0.395033,-0.021109
9,0.53539,0.047963,0.394369,-0.021067
10,0.536092,0.048169,0.394689,-0.021137
11,0.53534,0.048093,0.39403,-0.021222
12,0.535317,0.047881,0.394005,-0.021255
13,0.536487,0.047778,0.394895,-0.021298
14,0.536755,0.047921,0.39509,-0.0215
15,0.535938,0.047875,0.394772,-0.021536
16,0.536317,0.047854,0.395,-0.02157
17,0.534971,0.047843,0.393956,-0.021567
18,0.535936,0.047656,0.394854,-0.021711
19,0.536175,0.047821,0.394819,-0.021628
20,0.535147,0.047576,0.394208,-0.021622
21,0.535204,0.047468,0.394277,-0.021661
22,0.535845,0.047419,0.394742,-0.021687
23,0.534835,0.047405,0.39425,-0.021745
24,0.534668,0.047439,0.393932,-0.021525
25,0.535612,0.047933,0.394658,-0.021441
26,0.534816,0.048102,0.394326,-0.021467
27,0.535053,0.047796,0.39423,-0.021519
28,0.535023,0.047743,0.393861,-0.021718
29,0.535963,0.047493,0.394092,-0.021977
30,0.535192,0.047451,0.393628,-0.022095
31,0.535644,0.047644,0.393938,-0.021994
32,0.535297,0.047744,0.393682,-0.021644
33,0.5354,0.047777,0.393673,-0.021576
34,0.536381,0.047888,0.394347,-0.021493
35,0.535379,0.047769,0.393825,-0.021485
36,0.535258,0.047759,0.393827,-0.021391
37,0.536013,0.047908,0.394409,-0.021455
38,0.535535,0.047987,0.394226,-0.021532
39,0.534856,0.0479,0.39374,-0.021577
40,0.535751,0.047938,0.394288,-0.021582
41,0.53552,0.047892,0.394093,-0.021574
42,0.534425,0.047863,0.393519,-0.021481
43,0.535088,0.047998,0.393976,-0.021345
44,0.534199,0.048013,0.393387,-0.021363
45,0.534608,0.048047,0.393613,-0.021296
46,0.534461,0.048026,0.393541,-0.021267
47,0.534468,0.048051,0.393509,-0.02125
48,0.535278,0.048157,0.393988,-0.021172
49,0.534467,0.048052,0.393335,-0.021217
50,0.535029,0.048045,0.393733,-0.021276
51,0.5355,0.048097,0.394082,-0.021431
52,0.535714,0.048171,0.394409,-0.02147
53,0.534901,0.048108,0.393918,-0.021413
54,0.535689,0.048028,0.394365,-0.021447
55,0.535942,0.047942,0.394418,-0.021517
56,0.535807,0.047686,0.394276,-0.021609
57,0.536222,0.047618,0.394435,-0.021586
58,0.535587,0.047759,0.394213,-0.021944
59,0.536273,0.047761,0.394667,-0.022078
60,0.535614,0.047667,0.394299,-0.021962
61,0.535057,0.04763,0.393903,-0.021786
62,0.535279,0.047771,0.39421,-0.021669
63,0.535141,0.047804,0.394323,-0.021396
64,0.535418,0.047814,0.394495,-0.021544
65,0.534487,0.047681,0.393987,-0.021515
66,0.53586,0.047543,0.394542,-0.021618
67,0.534964,0.047531,0.393887,-0.021693
68,0.536321,0.047643,0.394916,-0.021806
69,0.53567,0.047584,0.394621,-0.021742
70,0.536071,0.047589,0.394896,-0.021713
71,0.535949,0.047489,0.394627,-0.021554
72,0.535381,0.047695,0.394073,-0.021321
73,0.535881,0.048143,0.394516,-0.020959
74,0.535247,0.048084,0.394324,-0.020909
75,0.535917,0.047686,0.394976,-0.021083
76,0.534936,0.047405,0.394337,-0.021158
77,0.536007,0.047623,0.394907,-0.021216
78,0.536125,0.047702,0.394313,-0.021525
79,0.53675,0.047438,0.394573,-0.021734
80,0.536354,0.047392,0.394366,-0.021811
81,0.53626,0.047385,0.394505,-0.021688
82,0.535188,0.047362,0.393945,-0.021444
83,0.53572,0.047351,0.394297,-0.021426
84,0.535905,0.047358,0.394436,-0.021495
85,0.535804,0.047345,0.394352,-0.021574
86,0.535167,0.047318,0.394023,-0.021618
87,0.535136,0.047331,0.393987,-0.021644
88,0.535304,0.047323,0.394101,-0.021621
89,0.535126,0.047245,0.393958,-0.02158
90,0.535801,0.04727,0.394321,-0.021624
91,0.53525,0.047241,0.393887,-0.021616
92,0.536183,0.047321,0.394386,-0.021711
93,0.535458,0.047348,0.393776,-0.02188
94,0.535887,0.047487,0.394019,-0.021844
95,0.536147,0.047598,0.394098,-0.021734
96,0.535205,0.047569,0.393512,-0.021699
