t,s1,s2,s3,s4
0,-0.6343373860792356,-1.0907396438554042,-0.5184750225988529,-1.6145961827736657
1,-1.0556680838939076,-1.1157712444239736,-0.9029197581065107,-1.633440421036755
2,-0.7429789403586766,-1.142643403857881,-0.6482479681822749,-1.6585660720542075
3,-0.8075020969611438,-1.133808721304267,-0.6439831295950055,-1.6352351103951464
4,-1.2757085923075546,-1.0833774083940604,-0.930945840251279,-1.5428086084380879
5,-1.0766243227904397,-1.0995743264090159,-0.8084840465317185,-1.5562687786260097
6,-0.8058476570482727,-1.1139306855586384,-0.6458109175609877,-1.5715236381723197
7,-1.298319271117019,-1.167306892653383,-1.0326927036899327,-1.509606855307884
8,-1.1361841596542932,-1.190497934356617,-0.9882165298514931,-1.5463979871548672
9,-0.6475729053822665,-1.2133208642867837,-0.864536210821289,-1.4710210341025098
10,-0.8885696526925068,-1.1592084336459039,-0.8889067170341266,-1.0438849668058252
11,-1.1251545602350497,-1.0819049613017901,-0.9943091564046771,-0.8114726948943902
12,-0.44021643630073415,-0.9758887706584363,-0.4947137790413202,-0.8007045587440553
13,-0.5245928718578395,-0.9699989822893602,-0.6116922088630016,-0.8303169331574796
14,-0.951438369382164,-0.9482803876783963,-0.9601904477066909,-0.9496637754903785
15,-0.5736745892734271,-0.9239850106559595,-0.6762740503270432,-1.1120831624246237
16,-0.21410964820645728,-0.9140459927831452,-0.4106355326070152,-1.2036123197024833
17,-0.7104416220719237,-0.9044750866833985,-0.7408558917910848,-1.184768081439394
18,-0.8146713365836674,-0.8783391507956263,-0.7524318822421818,-1.0806760986528081
19,-0.4744081945003583,-0.991349465127259,-0.5544215192627875,-1.1766919793266428
20,-0.7413245004457443,-1.073806502294311,-0.8243248755700849,-1.056447792314548
21,-0.8516204946381177,-1.0108593890998199,-0.8925622929660573,-0.9281275031897055
22,-0.5378283911609317,-0.9177271105138184,-0.5867124399948253,-0.7585293588219016
23,-0.6100722673569,-0.9313472461173032,-0.7250150627527184,-0.760324048180293
24,-0.9883875274365531,-0.9512252818629319,-1.0412223808644376,-0.8374956905910383
25,-0.6288225863695832,-0.9515933936359994,-0.7292799013399878,-0.9765841158662191
26,-0.41153947781070116,-0.9795698883891069,-0.49105820310938947,-1.0232460391843445
27,-0.9597105689465812,-0.9990798123616704,-0.8346823407105384,-1.0250407285427359
28,-0.9012536920246215,-0.9541701760474699,-0.8139674104296315,-1.0770867199360288
29,-0.47165079464553217,-0.8908549510799111,-0.6939426673313581,-1.1641291538179166
30,-0.6056604275892026,-0.8742899212918881,-0.9431310933577147,-1.198228251627316
31,-0.9222099309211534,-0.8632465680998712,-1.199021408592594,-1.2197645239279888
32,-0.5665053496509648,-0.825699167247017,-0.7615708220719918,-1.2727078600004775
33,-0.7826854982678919,-0.7299901062495424,-0.7049093951271502,-0.8724921330796331
34,-1.2762600722785322,-0.7248365414266015,-0.835900866021182,-0.610467486754774
35,-1.0683521232260222,-0.9052113102295312,-0.7457299930336592,-0.6777683376943769
36,-0.7821340182969144,-0.9571150702320079,-0.6384997656971263,-0.6571294100728995
37,-1.0992350015998429,-1.0163810656958285,-0.924853213698095,-0.5970073165668522
38,-0.5058425528451563,-0.9696308705162926,-0.47521737407105685,-0.5072728486473806
