t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.071307,-0.003205,-0.271389,0.223756,-0.065482,0.381994,0.317918,0.050092
1,-0.071386,-0.003189,-0.2714,0.223842,-0.0656,0.382095,0.318153,0.050142
2,-0.071311,-0.003109,-0.270809,0.223381,-0.065417,0.381327,0.317373,0.049963
3,-0.07147,-0.002841,-0.270933,0.223391,-0.065275,0.38124,0.317466,0.049712
4,-0.071663,-0.002507,-0.271322,0.223596,-0.065348,0.381604,0.317849,0.049544
5,-0.071257,-0.002665,-0.27104,0.223351,-0.065165,0.381257,0.317331,0.049732
6,-0.071179,-0.002842,-0.271111,0.223452,-0.065278,0.381583,0.317206,0.050015
7,-0.071397,-0.002932,-0.271557,0.223761,-0.065545,0.382174,0.317612,0.049984
8,-0.071551,-0.002683,-0.271108,0.223489,-0.065407,0.381493,0.31717,0.049751
9,-0.071766,-0.002501,-0.270687,0.223187,-0.065374,0.380833,0.316721,0.049598
10,-0.072093,-0.002401,-0.271106,0.223398,-0.065715,0.381298,0.3171,0.049662
11,-0.072191,-0.002423,-0.271148,0.223217,-0.065864,0.381221,0.31697,0.049709
12,-0.072115,-0.002644,-0.270552,0.222819,-0.06578,0.380531,0.315983,0.049709
13,-0.07248,-0.00296,-0.270817,0.223034,-0.06602,0.381011,0.31603,0.05008
14,-0.072389,-0.003228,-0.271032,0.223282,-0.065997,0.381539,0.316275,0.050389
15,-0.07185,-0.003642,-0.270505,0.223143,-0.065691,0.381179,0.315602,0.050571
16,-0.071738,-0.003763,-0.270683,0.22324,-0.065834,0.381493,0.315582,0.050674
17,-0.071876,-0.003483,-0.271227,0.223857,-0.065998,0.382289,0.316307,0.050717
18,-0.071795,-0.003224,-0.271149,0.223908,-0.065551,0.382165,0.316415,0.050477
19,-0.071518,-0.003066,-0.270931,0.223712,-0.065383,0.381713,0.316133,0.050346
20,-0.07181,-0.003001,-0.271353,0.223771,-0.065711,0.382036,0.316868,0.050319
