t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.9038599114962634,0.9075410231384186,-0.16051312378082752,-0.8915046157690008,0.910679116583966,-0.8282167317569223,1.0253393408454923,-0.9485816418921588
1,-0.9129531905839595,0.9086014225530821,-0.17648921623419547,-0.8798743643431525,0.8204954738436887,-0.8095976291818294,1.0415925523571898,-0.945023482533131
2,-0.9043203306905775,0.9139034196263998,0.6818626601252661,-0.9422179214049677,0.9603565469069939,-0.9511765477726083,0.9876457226587984,-0.9577616930384499
3,-0.9226219936645468,0.9316651098220142,0.5017685270143605,-0.9408655665880072,1.068882625458849,-0.9672147846442208,0.9940778446612996,-0.9756236530207689
4,-0.9448372197901813,0.9538009476031156,-0.06320419701928003,-0.9131422928403488,1.0130910498652883,-0.9001122763538033,1.020567121295251,-0.987579068467102
5,-0.8981046715673431,0.9433295033833131,0.34636471860405565,-0.9462749858558452,1.1529521229285933,-0.9640808762899998,0.9847408933673436,-0.9742003892771579
6,-0.8891264972782271,0.9315988348585976,0.24324630367763242,-0.9326162022045562,1.0665898209823992,-0.9039835749090188,0.9760955680951664,-0.9540612073050614
7,-0.9142193433683218,0.9256340881511153,-0.4045116267053662,-0.8908284383605244,0.8625302225785608,-0.7950341727122057,1.0041755845792022,-0.9562672661076583
8,-0.9319454823493983,0.9421365540418167,0.24760341980124892,-0.9276124893818102,0.9679992284951495,-0.920574854431372,0.9736057144167805,-0.9728482887207275
9,-0.9566930140437574,0.9541985973836146,0.8590520491538146,-0.9684536048539735,0.993220077736077,-1.0422442375953331,0.9425517060391144,-0.9837362563593517
10,-0.9943322831789011,0.9608260937252616,0.2505081638836868,-0.9399189182161349,0.7326046355798719,-0.9565226267298125,0.9687643322643598,-0.9791818123797966
11,-1.005612553439586,0.9593680445300994,0.18950853815257226,-0.964396540403096,0.6187286799163002,-0.9707173880989493,0.9597731939812932,-0.9758371425823102
12,-0.9968645887476256,0.9447212776150591,1.0551222747181688,-1.018220262118068,0.6829272052568334,-1.097917197770348,0.8915097056321777,-0.9758371425823102
13,-1.0388778402287486,0.9237783891754541,0.6702436837955953,-0.9891446335534454,0.49950284714103343,-1.0094303736511137,0.8947603479345141,-0.9494356001383253
14,-1.0284033035581117,0.9060166989798397,0.3579836949338071,-0.9556062340928608,0.5170810147937946,-0.9120948671199468,0.9117051854679828,-0.927446175299534
15,-0.9663618171243447,0.8785788641254205,1.1233837606554182,-0.9744039660485918,0.7509470713914497,-0.9784599852093802,0.8651587542025774,-0.9144944752326737
16,-0.9534700796835617,0.8705595935520275,0.8648615373186903,-0.9612861243240908,0.6416567246807778,-0.920574854431372,0.8637755021590274,-0.9071646669530767
17,-0.9693545418873833,0.8891165833086394,0.07477114689639758,-0.8778458321177156,0.5163167466349781,-0.7738342044336427,0.9139183887376626,-0.9041046499043128
18,-0.9600310532025317,0.9062817988335056,0.18805616611139364,-0.870948822551225,0.8579446136256716,-0.7966933006644482,0.9213879497728243,-0.9211838148276454
19,-0.92814702399631,0.9167532430533082,0.5046732710967983,-0.8974549769636229,0.986341664306738,-0.8800183933767217,0.9018840959587903,-0.9305061923482979
20,-0.9617576251812081,0.9210611156753787,-0.1082277302970266,-0.8894760835435639,0.7356617082151278,-0.8204741346464915,0.9527186085591965,-0.9324275984021728
21,-0.9747644674205695,0.9375635815660801,0.16627058549306936,-0.9028643962314571,0.7326046355798719,-0.9017714043060356,0.9424825434369389,-0.9312889874072843
22,-0.9166365441384678,0.9397506553588237,1.2090737110872143,-0.9420826859232716,0.8311952280671109,-1.0155138428093122,0.8903339413951622,-0.9295810709149508
23,-0.8939608988185207,0.9141685194800657,0.7544812621861321,-0.929235315162159,0.728019026626972,-0.9425122129109397,0.9115668602636317,-0.9262364011174649
24,-0.9147948673612128,0.9046249247480938,0.4640068539426682,-0.916523179882746,0.8342523007023774,-0.9002966239040469,0.9224253888054849,-0.9227494049456177
25,-0.9134136097782721,0.9001845021991902,1.0856220875837261,-0.9508729922335069,0.9519495971600216,-1.0149608001585613,0.8971118764085488,-0.9170563499711737
26,-0.9484054685461111,0.9095955470043292,1.0710983671716174,-0.940054153697831,0.9297858205543605,-0.9996599534879431,0.9355662832191972,-0.916131228537826
27,-0.9939869687831655,0.9097280969311622,0.06460454260790537,-0.8974549769636229,1.0681183573000324,-0.8525506083897166,0.9760264054929909,-0.9048874449632988
28,-0.9706206946717472,0.9210611156753787,0.2417939316363732,-0.9043519865301135,1.0100339772300322,-0.8899731610901357,0.9410301287912134,-0.9253824428712983
29,-0.9368949886882705,0.9266282126023624,0.9766941844924272,-0.8848780771659023,0.9397213066189661,-0.9235244152353496,0.9053422260676611,-0.9233187104430622
30,-0.9231975176574378,0.9249050635535342,0.8851947458957553,-0.8326771812312826,0.8388379096552772,-0.8322723778623915,0.926229331925245,-0.9043181394658543
31,-0.8986801955602358,0.9188077669192187,1.1785738982216571,-0.8505282648151414,0.9473639882071218,-0.8883140331379035,0.918137307470484,-0.8967036784375353
32,-0.884522305335089,0.9231156395412894,1.4719530505476395,-0.9023234543046729,0.9825203235126548,-0.9828843264153362,0.9011924699370153,-0.9189777560250486
33,-0.9380460366740543,0.9487640503834639,0.8808376297720583,-0.9005653930426281,0.8357808370200106,-0.9200218117806314,0.9479463890089551,-0.9369108791945477
34,-0.9473695253589058,0.9424679288588991,0.5772918731576643,-0.8860951965011666,0.8969222897252773,-0.870432320763805,0.954032698000567,-0.9263787274918261
35,-0.9396575038541521,0.9221215150900423,0.8561473050713767,-0.9491149309714583,1.3226196541857151,-0.9909956186262744,0.9330072669386318,-0.9084456043223266
36,-0.9396575038541521,0.9173497177240563,0.7326956815678884,-0.9742687305668958,1.2354930840807044,-0.9458304688154143,0.9527186085591965,-0.901044632855549
37,-0.9621029395769437,0.9295443109926871,0.5801966172401022,-0.9738630241218077,0.9206146026485715,-0.889420118439395,0.9601190069921826,-0.9237456895661454
38,-0.9386215606669469,0.9427993036759814,0.8024095395463166,-1.0010453559426857,0.8029173061909274,-0.9358757011019901,0.9375719986823425,-0.9645221958206024
39,-0.9242334608446446,0.9628806175911723,0.6905768923725797,-0.9932016980043229,0.8243168146377718,-0.9508078526721213,0.9373645108758082,-0.9844478882311575
40,-0.9573836428352287,0.9655978910912477,0.36524555513986146,-0.9273420184184181,0.9122076529015992,-0.8979001057508202,0.9476005759980696,-0.9859423151619491
41,-0.9718868474561094,0.9543311473104475,1.0493127865532932,-0.9189574185532711,1.05971140755306,-0.9497017673706297,0.9600498443900032,-0.989002332210713
42,-0.9105359898138119,0.9165544181630586,1.9614024284378955,-0.9273420184184181,1.0375476309473992,-1.0038999471436558,0.9168232180291136,-0.9613910155846583
43,-0.9237730416503305,0.9077398480286679,1.2816923131480804,-0.8639165775030383,0.7975674290792216,-0.8907105512911301,0.94946796625686,-0.933993188520145
44,-0.9211256312830274,0.9286164615048564,0.8808376297720583,-0.7985978398439139,0.8319594962259275,-0.8095976291818294,0.9719458119645207,-0.9171275131583538
45,-0.9231975176574378,0.890309532650136,1.5460240246496841,-0.9038110446033294,0.7922175519675052,-0.9353226584512495,0.9132267627158878,-0.9297945604764927
